site_ID,mean_r2_test,mean_r2_train,Site ID,Name,IGBP,IGBP description,koppen,koppen description,koppen_main_name,Latitude,Longitude,Elevation,start_year,end_year,Mean Average Precipitation (mm),Mean Average Temperature (degrees C)
US-xBR,0.7599464645278907,0.7936306162305563,US-xBR,NEON Bartlett Experimental Forest (BART),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,44.0639,-71.2873,232,2019,2024,1246.0,5.6
US-xDC,0.7332219162451579,0.8692904360565105,US-xDC,NEON Dakota Coteau Field School (DCFS),GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,47.1617,-99.1066,559,2019,2024,489.74,4.9
US-xDJ,0.7454273856999577,0.907950580146911,US-xDJ,NEON Delta Junction (DEJU),ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",Cold,63.8811,-145.7514,529,2019,2024,300.0,-2.0
US-xDL,0.7330446414254094,0.8584698005361252,US-xDL,NEON Dead Lake (DELA),MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,32.5417,-87.8039,22,2019,2024,1372.0,17.6
US-xDS,0.7142793661758563,0.7664131840793252,US-xDS,NEON Disney Wilderness Preserve (DSNY),CVM,"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape",Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,28.125,-81.4362,15,2019,2024,1216.09,22.5
US-xHA,0.7931925795586222,0.8126269544604422,US-xHA,NEON Harvard Forest (HARV),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,42.5369,-72.1727,351,2019,2024,1071.0,6.62
US-xKZ,0.8802162886371868,0.8970987148685277,US-xKZ,NEON Konza Prairie Biological Station (KONZ),GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",Cold,39.1008,-96.5631,381,2019,2024,870.38,12.4
US-xML,0.6319080829421067,0.8510796750762081,US-xML,NEON Mountain Lake Biological Station (MLBS),DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,37.3783,-80.5248,1126,2019,2024,1227.82,8.8
US-xNG,0.5070576688853933,0.8686463892258365,US-xNG,NEON Northern Great Plains Research Laboratory (NOGP),GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,46.7697,-100.9154,578,2019,2024,456.51,5.9
US-xRM,0.8634368953598428,0.9109475726282548,US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",Cold,40.2759,-105.5459,2743,2019,2024,730.59,2.9
