training_site,US-xAB,US-xAE,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xNW,US-xRM,US-xRN,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR,US-xYE
US-xAB,0.76,0.41,0.53,0.14,0.68,0.24,0.29,0.58,0.71,0.08,0.05,0.54,0.06,0.15,0.14,0.0,0.52,0.47,0.24,0.63,0.54,0.28,0.34,0.71,0.21,0.41,0.54,0.3,0.05,0.61,0.19,0.83,0.3,0.38,0.65,0.49,0.78,0.48,0.39,0.49
US-xAE,0.35,0.89,0.4,0.03,0.5,0.53,0.6,0.73,0.17,0.33,0.09,0.55,0.22,0.0,0.14,0.0,0.49,0.49,0.29,0.56,0.69,0.46,0.07,0.32,0.18,0.08,0.53,0.41,0.0,0.6,0.12,0.82,0.33,0.0,0.55,0.53,0.58,0.47,0.16,0.56
US-xBL,0.61,0.42,0.83,0.34,0.69,0.31,0.3,0.72,0.66,0.76,0.57,0.61,0.0,0.29,0.66,0.0,0.6,0.74,0.26,0.65,0.62,0.22,0.41,0.63,0.41,0.74,0.65,0.62,0.09,0.62,0.21,0.89,0.55,0.59,0.72,0.83,0.83,0.59,0.62,0.63
US-xBN,0.16,0.05,0.18,0.73,0.25,0.03,0.01,0.17,0.14,0.35,0.05,0.02,0.03,0.43,0.14,0.02,0.16,0.15,0.18,0.36,0.24,0.01,0.66,0.05,0.29,0.12,0.05,0.04,0.03,0.0,0.28,0.18,0.16,0.48,0.14,0.18,0.61,0.2,0.44,0.02
US-xBR,0.58,0.5,0.66,0.42,0.82,0.37,0.26,0.74,0.74,0.65,0.24,0.67,0.09,0.42,0.54,0.0,0.66,0.71,0.18,0.6,0.58,0.09,0.51,0.73,0.42,0.68,0.61,0.51,0.17,0.59,0.1,0.89,0.53,0.65,0.72,0.76,0.91,0.59,0.61,0.54
US-xCL,0.34,0.08,0.54,0.16,0.27,0.86,0.17,0.64,0.0,0.41,0.0,0.74,0.06,0.02,0.23,0.0,0.46,0.56,0.07,0.38,0.17,0.01,0.02,0.12,0.08,0.03,0.69,0.6,0.26,0.33,0.12,0.79,0.37,0.06,0.53,0.74,0.0,0.39,0.02,0.05
US-xCP,0.41,0.61,0.45,0.0,0.59,0.53,0.76,0.79,0.58,0.33,0.06,0.66,0.14,0.04,0.12,0.0,0.5,0.51,0.29,0.64,0.65,0.45,0.05,0.55,0.08,0.13,0.61,0.52,0.28,0.6,0.33,0.85,0.3,0.0,0.58,0.68,0.49,0.51,0.02,0.51
US-xDC,0.48,0.42,0.47,0.37,0.63,0.58,0.36,0.9,0.51,0.05,0.01,0.69,0.15,0.27,0.01,0.0,0.45,0.41,0.04,0.68,0.7,0.2,0.31,0.41,0.36,0.0,0.72,0.63,0.09,0.6,0.08,0.93,0.23,0.51,0.72,0.66,0.79,0.59,0.44,0.76
US-xDJ,0.56,0.46,0.71,0.43,0.73,0.32,0.3,0.71,0.87,0.68,0.49,0.57,0.3,0.49,0.54,0.0,0.57,0.67,0.24,0.67,0.64,0.18,0.57,0.69,0.4,0.72,0.57,0.58,0.13,0.58,0.16,0.89,0.55,0.65,0.71,0.73,0.88,0.62,0.64,0.72
US-xDL,0.41,0.57,0.68,0.22,0.58,0.46,0.42,0.64,0.11,0.94,0.34,0.61,0.02,0.0,0.59,0.01,0.55,0.74,0.26,0.61,0.56,0.08,0.29,0.08,0.27,0.46,0.49,0.56,0.0,0.41,0.18,0.67,0.56,0.27,0.65,0.85,0.75,0.5,0.44,0.12
