training_site,US-xAB,US-xAE,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xNW,US-xRM,US-xRN,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR,US-xYE
US-xAB,0.84,0.4,0.41,0.15,0.58,0.23,0.17,0.56,0.6,0.29,0.03,0.54,0.02,0.35,0.18,0.0,0.5,0.5,0.28,0.63,0.63,0.14,0.38,0.57,0.34,0.27,0.6,0.21,0.05,0.5,0.2,0.73,0.33,0.03,0.51,0.55,0.81,0.52,0.54,0.41
US-xAE,0.32,0.91,0.51,0.21,0.48,0.59,0.51,0.74,0.18,0.47,0.15,0.66,0.03,0.21,0.28,0.0,0.56,0.6,0.2,0.35,0.69,0.22,0.17,0.3,0.35,0.26,0.66,0.6,0.16,0.6,0.15,0.84,0.44,0.54,0.57,0.67,0.6,0.49,0.21,0.52
US-xBL,0.57,0.46,0.88,0.4,0.71,0.37,0.32,0.73,0.69,0.75,0.61,0.57,0.38,0.47,0.61,0.0,0.59,0.76,0.24,0.69,0.6,0.16,0.46,0.59,0.41,0.67,0.62,0.64,0.13,0.6,0.18,0.9,0.54,0.55,0.73,0.81,0.85,0.6,0.6,0.59
US-xBN,0.19,0.26,0.33,0.92,0.54,0.19,0.09,0.54,0.28,0.04,0.0,0.28,0.22,0.47,0.03,0.02,0.31,0.24,0.12,0.51,0.32,0.14,0.64,0.34,0.09,0.01,0.39,0.3,0.15,0.36,0.03,0.72,0.05,0.48,0.5,0.29,0.68,0.35,0.36,0.37
US-xBR,0.6,0.52,0.64,0.39,0.86,0.53,0.37,0.75,0.71,0.59,0.09,0.69,0.08,0.44,0.31,0.0,0.58,0.64,0.27,0.6,0.69,0.2,0.5,0.7,0.35,0.27,0.67,0.6,0.05,0.57,0.2,0.9,0.43,0.53,0.72,0.75,0.9,0.66,0.57,0.57
US-xCL,0.34,0.6,0.55,0.17,0.48,0.88,0.37,0.73,0.36,0.36,0.11,0.74,0.07,0.33,0.31,0.0,0.57,0.65,0.16,0.42,0.51,0.16,0.37,0.16,0.16,0.39,0.69,0.62,0.22,0.59,0.15,0.82,0.37,0.47,0.56,0.76,0.46,0.43,0.07,0.36
US-xCP,0.27,0.51,0.41,0.03,0.52,0.53,0.81,0.78,0.33,0.41,0.0,0.54,0.0,0.05,0.07,0.0,0.34,0.49,0.27,0.57,0.67,0.44,0.05,0.57,0.11,0.07,0.5,0.49,0.03,0.42,0.28,0.79,0.27,0.04,0.52,0.67,0.48,0.51,0.04,0.54
US-xDC,0.54,0.56,0.56,0.23,0.64,0.64,0.51,0.92,0.46,0.19,0.07,0.69,0.08,0.22,0.08,0.0,0.51,0.55,0.2,0.66,0.74,0.29,0.18,0.55,0.36,0.12,0.69,0.66,0.02,0.64,0.1,0.92,0.33,0.08,0.72,0.73,0.81,0.61,0.46,0.71
US-xDJ,0.58,0.42,0.65,0.41,0.73,0.33,0.28,0.68,0.94,0.71,0.43,0.48,0.31,0.54,0.32,0.0,0.51,0.6,0.31,0.61,0.63,0.22,0.51,0.73,0.24,0.22,0.56,0.55,0.0,0.5,0.25,0.89,0.37,0.6,0.69,0.69,0.85,0.6,0.56,0.68
US-xDL,0.36,0.5,0.64,0.21,0.56,0.41,0.37,0.63,0.34,0.96,0.39,0.54,0.12,0.22,0.54,0.0,0.51,0.76,0.27,0.58,0.58,0.11,0.27,0.31,0.4,0.41,0.47,0.5,0.12,0.44,0.2,0.66,0.55,0.03,0.64,0.84,0.75,0.5,0.45,0.22
US-xDS,0.42,0.41,0.57,0.37,0.48,0.23,0.2,0.46,0.41,0.73,0.86,0.42,0.14,0.34,0.7,0.01,0.5,0.68,0.27,0.44,0.56,0.14,0.44,0.52,0.39,0.68,0.49,0.51,0.13,0.5,0.33,0.56,0.56,0.57,0.46,0.67,0.78,0.44,0.6,0.35
US-xGR,0.48,0.43,0.65,0.31,0.68,0.38,0.23,0.57,0.53,0.8,0.48,0.88,0.06,0.33,0.58,0.0,0.63,0.71,0.22,0.63,0.55,0.08,0.49,0.69,0.38,0.73,0.61,0.67,0.15,0.53,0.14,0.74,0.59,0.36,0.61,0.76,0.85,0.56,0.55,0.34
US-xHA,0.0,0.16,0.01,0.0,0.04,0.12,0.13,0.0,0.03,0.01,0.0,0.15,0.72,0.03,0.03,0.0,0.16,0.09,0.09,0.03,0.01,0.06,0.04,0.06,0.12,0.08,0.25,0.23,0.02,0.25,0.12,0.03,0.05,0.01,0.05,0.12,0.01,0.01,0.01,0.0
US-xHE,0.04,0.0,0.0,0.15,0.09,0.01,0.14,0.19,0.12,0.03,0.04,0.0,0.13,0.94,0.01,0.0,0.02,0.0,0.0,0.01,0.17,0.01,0.18,0.18,0.0,0.01,0.0,0.03,0.04,0.12,0.02,0.36,0.02,0.41,0.22,0.01,0.27,0.08,0.0,0.2
US-xJE,0.54,0.44,0.67,0.27,0.69,0.24,0.24,0.63,0.61,0.71,0.58,0.67,0.0,0.16,0.86,0.0,0.62,0.8,0.28,0.64,0.58,0.15,0.56,0.49,0.32,0.65,0.58,0.62,0.11,0.57,0.27,0.81,0.47,0.52,0.68,0.78,0.83,0.61,0.5,0.44
US-xJR,0.01,0.25,0.07,0.17,0.02,0.21,0.04,0.21,0.01,0.02,0.01,0.29,0.01,0.02,0.02,0.75,0.13,0.06,0.02,0.07,0.02,0.1,0.13,0.05,0.03,0.01,0.33,0.28,0.05,0.35,0.06,0.5,0.03,0.01,0.05,0.05,0.03,0.04,0.15,0.18
US-xKA,0.41,0.34,0.55,0.31,0.54,0.41,0.08,0.5,0.42,0.54,0.35,0.7,0.0,0.31,0.59,0.0,0.86,0.63,0.17,0.66,0.4,0.06,0.38,0.24,0.24,0.63,0.64,0.56,0.19,0.6,0.26,0.8,0.35,0.44,0.53,0.64,0.76,0.5,0.42,0.31
US-xKZ,0.53,0.48,0.66,0.41,0.69,0.32,0.32,0.64,0.57,0.77,0.58,0.64,0.12,0.29,0.65,0.0,0.63,0.94,0.31,0.65,0.59,0.15,0.49,0.49,0.36,0.44,0.64,0.53,0.02,0.63,0.33,0.82,0.58,0.53,0.64,0.82,0.85,0.57,0.5,0.45
US-xMB,0.44,0.12,0.41,0.21,0.49,0.05,0.17,0.34,0.51,0.36,0.07,0.3,0.02,0.35,0.24,0.0,0.31,0.35,0.72,0.55,0.44,0.08,0.16,0.46,0.3,0.21,0.33,0.25,0.04,0.38,0.21,0.7,0.13,0.0,0.39,0.45,0.65,0.45,0.29,0.28
US-xML,0.5,0.2,0.45,0.31,0.61,0.15,0.21,0.66,0.48,0.29,0.0,0.42,0.02,0.32,0.31,0.0,0.41,0.53,0.23,0.94,0.67,0.1,0.37,0.46,0.4,0.12,0.55,0.17,0.09,0.5,0.15,0.81,0.27,0.46,0.54,0.58,0.83,0.61,0.52,0.42
US-xNG,0.58,0.55,0.63,0.25,0.7,0.53,0.43,0.8,0.69,0.49,0.14,0.67,0.0,0.25,0.24,0.0,0.52,0.7,0.32,0.71,0.91,0.42,0.24,0.65,0.28,0.13,0.65,0.58,0.01,0.57,0.29,0.92,0.41,0.49,0.71,0.81,0.74,0.63,0.39,0.7
US-xNQ,0.2,0.58,0.41,0.06,0.42,0.36,0.42,0.58,0.21,0.2,0.27,0.36,0.25,0.05,0.3,0.04,0.41,0.52,0.31,0.23,0.49,0.86,0.04,0.28,0.22,0.29,0.48,0.31,0.06,0.58,0.26,0.87,0.31,0.01,0.49,0.5,0.38,0.34,0.02,0.43
US-xNW,0.12,0.37,0.27,0.35,0.43,0.25,0.08,0.55,0.41,0.0,0.01,0.4,0.39,0.33,0.01,0.03,0.25,0.15,0.03,0.11,0.25,0.07,0.99,0.31,0.08,0.0,0.43,0.42,0.0,0.39,0.01,0.69,0.11,0.41,0.45,0.16,0.46,0.25,0.4,0.47
US-xRM,0.35,0.1,0.16,0.25,0.48,0.0,0.26,0.39,0.65,0.17,0.0,0.12,0.21,0.3,0.02,0.01,0.12,0.17,0.18,0.49,0.58,0.24,0.31,0.96,0.03,0.0,0.27,0.02,0.2,0.23,0.1,0.46,0.06,0.34,0.28,0.28,0.61,0.38,0.2,0.42
US-xRN,0.35,0.34,0.5,0.26,0.49,0.29,0.23,0.48,0.03,0.45,0.07,0.42,0.01,0.29,0.37,0.0,0.4,0.58,0.25,0.65,0.49,0.06,0.19,0.14,0.68,0.12,0.48,0.49,0.02,0.42,0.14,0.75,0.3,0.21,0.51,0.59,0.73,0.58,0.36,0.26
US-xSB,0.5,0.48,0.67,0.4,0.66,0.36,0.19,0.66,0.65,0.74,0.64,0.58,0.19,0.41,0.67,0.0,0.6,0.67,0.2,0.65,0.52,0.1,0.59,0.52,0.39,0.92,0.6,0.62,0.17,0.54,0.22,0.82,0.57,0.6,0.68,0.75,0.82,0.55,0.61,0.44
