training_site,US-xAB,US-xAE,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xNW,US-xRM,US-xRN,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR,US-xYE
US-xAB,0.81,0.41,0.42,0.3,0.65,0.2,0.15,0.55,0.73,0.29,0.05,0.53,0.04,0.44,0.21,0.01,0.51,0.5,0.31,0.67,0.65,0.18,0.48,0.62,0.35,0.3,0.59,0.22,0.02,0.49,0.26,0.83,0.35,0.55,0.53,0.56,0.86,0.54,0.61,0.52
US-xAE,0.39,0.87,0.52,0.39,0.53,0.61,0.57,0.77,0.2,0.55,0.15,0.64,0.16,0.31,0.25,0.0,0.56,0.63,0.22,0.46,0.75,0.26,0.31,0.27,0.4,0.19,0.66,0.58,0.11,0.61,0.14,0.84,0.46,0.57,0.59,0.72,0.73,0.48,0.36,0.53
US-xBL,0.59,0.46,0.84,0.45,0.73,0.37,0.34,0.75,0.71,0.78,0.66,0.6,0.24,0.4,0.67,0.0,0.61,0.78,0.3,0.71,0.64,0.22,0.42,0.64,0.42,0.7,0.64,0.66,0.13,0.61,0.29,0.92,0.56,0.63,0.74,0.84,0.87,0.63,0.63,0.59
US-xBN,0.27,0.38,0.47,0.87,0.63,0.35,0.2,0.67,0.4,0.29,0.01,0.48,0.27,0.46,0.15,0.0,0.47,0.43,0.14,0.65,0.45,0.1,0.62,0.47,0.19,0.03,0.55,0.48,0.16,0.51,0.06,0.82,0.2,0.47,0.57,0.51,0.72,0.5,0.4,0.37
US-xBR,0.62,0.53,0.65,0.42,0.82,0.55,0.35,0.77,0.74,0.55,0.09,0.69,0.04,0.48,0.31,0.0,0.59,0.62,0.26,0.65,0.67,0.19,0.57,0.73,0.39,0.33,0.68,0.6,0.07,0.58,0.21,0.92,0.46,0.69,0.74,0.73,0.92,0.65,0.62,0.6
US-xCL,0.41,0.66,0.57,0.4,0.53,0.84,0.51,0.78,0.53,0.42,0.09,0.74,0.0,0.4,0.27,0.0,0.57,0.65,0.19,0.47,0.65,0.25,0.42,0.35,0.33,0.32,0.71,0.61,0.15,0.61,0.19,0.87,0.42,0.53,0.61,0.77,0.66,0.47,0.3,0.53
US-xCP,0.39,0.59,0.47,0.32,0.58,0.6,0.76,0.82,0.38,0.51,0.19,0.52,0.25,0.28,0.19,0.0,0.46,0.57,0.31,0.62,0.74,0.47,0.12,0.62,0.26,0.13,0.48,0.58,0.02,0.59,0.38,0.84,0.35,0.44,0.59,0.74,0.66,0.57,0.17,0.59
US-xDC,0.52,0.53,0.51,0.45,0.66,0.62,0.52,0.9,0.5,0.13,0.02,0.7,0.22,0.35,0.03,0.0,0.47,0.46,0.15,0.7,0.75,0.32,0.37,0.45,0.33,0.04,0.7,0.65,0.12,0.63,0.03,0.93,0.25,0.46,0.74,0.7,0.83,0.63,0.4,0.74
US-xDJ,0.61,0.43,0.7,0.42,0.75,0.4,0.32,0.72,0.9,0.74,0.37,0.52,0.26,0.57,0.38,0.0,0.52,0.63,0.32,0.73,0.67,0.24,0.57,0.74,0.31,0.33,0.56,0.61,0.01,0.52,0.3,0.92,0.45,0.68,0.72,0.77,0.88,0.64,0.6,0.66
US-xDL,0.46,0.54,0.69,0.29,0.64,0.43,0.39,0.66,0.52,0.94,0.51,0.66,0.0,0.27,0.62,0.0,0.59,0.79,0.27,0.62,0.61,0.14,0.3,0.58,0.41,0.52,0.54,0.63,0.11,0.58,0.23,0.76,0.59,0.62,0.68,0.86,0.78,0.54,0.47,0.3
