training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xAB,US-xAB,0.76,0.76,ENF,Temperate,ENF,Temperate
US-xAB,US-xAE,-12.61,0.41,ENF,Temperate,GRA,Temperate
US-xAB,US-xBL,0.42,0.53,ENF,Temperate,DBF,Cold
US-xAB,US-xBN,-1.6,0.14,ENF,Temperate,ENF,Cold
US-xAB,US-xBR,0.66,0.68,ENF,Temperate,DBF,Cold
US-xAB,US-xCL,-2.58,0.24,ENF,Temperate,GRA,Temperate
US-xAB,US-xCP,-15.31,0.29,ENF,Temperate,GRA,Arid
US-xAB,US-xDC,0.56,0.58,ENF,Temperate,GRA,Cold
US-xAB,US-xDJ,0.59,0.71,ENF,Temperate,ENF,Cold
US-xAB,US-xDL,-0.45,0.08,ENF,Temperate,MF,Temperate
US-xAB,US-xDS,-22.33,0.05,ENF,Temperate,CVM,Temperate
US-xAB,US-xGR,0.5,0.54,ENF,Temperate,DBF,Temperate
US-xAB,US-xHA,-6.5,0.06,ENF,Temperate,DBF,Cold
US-xAB,US-xHE,-4.61,0.15,ENF,Temperate,OSH,Cold
US-xAB,US-xJE,-0.65,0.14,ENF,Temperate,ENF,Temperate
US-xAB,US-xJR,-1211.6,0.0,ENF,Temperate,OSH,Arid
US-xAB,US-xKA,-3.65,0.52,ENF,Temperate,GRA,Cold
US-xAB,US-xKZ,-0.09,0.47,ENF,Temperate,GRA,Cold
US-xAB,US-xMB,-140.63,0.24,ENF,Temperate,OSH,Arid
US-xAB,US-xML,0.47,0.63,ENF,Temperate,DBF,Cold
US-xAB,US-xNG,-0.04,0.54,ENF,Temperate,GRA,Cold
US-xAB,US-xNQ,-65.24,0.28,ENF,Temperate,OSH,Arid
US-xAB,US-xNW,-2.01,0.34,ENF,Temperate,ENF,Cold
US-xAB,US-xRM,0.1,0.71,ENF,Temperate,ENF,Cold
US-xAB,US-xRN,0.19,0.21,ENF,Temperate,DBF,Temperate
US-xAB,US-xSB,-1.7,0.41,ENF,Temperate,ENF,Temperate
US-xAB,US-xSC,-2.18,0.54,ENF,Temperate,DBF,Cold
US-xAB,US-xSE,-0.8,0.3,ENF,Temperate,DBF,Temperate
US-xAB,US-xSJ,-0.7,0.05,ENF,Temperate,SAV,Temperate
US-xAB,US-xSL,-59.66,0.61,ENF,Temperate,CRO,Arid
US-xAB,US-xSR,-20.86,0.19,ENF,Temperate,OSH,Arid
US-xAB,US-xST,0.79,0.83,ENF,Temperate,DBF,Cold
US-xAB,US-xTA,0.3,0.3,ENF,Temperate,ENF,Temperate
US-xAB,US-xTL,-8.56,0.38,ENF,Temperate,WET,Cold
US-xAB,US-xTR,0.65,0.65,ENF,Temperate,DBF,Cold
