training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xAB,US-xAB,0.84,0.84,ENF,Temperate,ENF,Temperate
US-xAB,US-xAE,-11.19,0.4,ENF,Temperate,GRA,Temperate
US-xAB,US-xBL,0.22,0.41,ENF,Temperate,DBF,Cold
US-xAB,US-xBN,-0.03,0.15,ENF,Temperate,ENF,Cold
US-xAB,US-xBR,0.55,0.58,ENF,Temperate,DBF,Cold
US-xAB,US-xCL,-2.37,0.23,ENF,Temperate,GRA,Temperate
US-xAB,US-xCP,-19.34,0.17,ENF,Temperate,GRA,Arid
US-xAB,US-xDC,0.52,0.56,ENF,Temperate,GRA,Cold
US-xAB,US-xDJ,0.19,0.6,ENF,Temperate,ENF,Cold
US-xAB,US-xDL,-0.07,0.29,ENF,Temperate,MF,Temperate
US-xAB,US-xDS,-13.17,0.03,ENF,Temperate,CVM,Temperate
US-xAB,US-xGR,0.54,0.54,ENF,Temperate,DBF,Temperate
US-xAB,US-xHA,-11.19,0.02,ENF,Temperate,DBF,Cold
US-xAB,US-xHE,-3.29,0.35,ENF,Temperate,OSH,Cold
US-xAB,US-xJE,-0.29,0.18,ENF,Temperate,ENF,Temperate
US-xAB,US-xJR,-3148.46,0.0,ENF,Temperate,OSH,Arid
US-xAB,US-xKA,-3.24,0.5,ENF,Temperate,GRA,Cold
US-xAB,US-xKZ,-0.11,0.5,ENF,Temperate,GRA,Cold
US-xAB,US-xMB,-210.18,0.28,ENF,Temperate,OSH,Arid
US-xAB,US-xML,0.4,0.63,ENF,Temperate,DBF,Cold
US-xAB,US-xNG,-0.28,0.63,ENF,Temperate,GRA,Cold
US-xAB,US-xNQ,-108.15,0.14,ENF,Temperate,OSH,Arid
US-xAB,US-xNW,-2.91,0.38,ENF,Temperate,ENF,Cold
US-xAB,US-xRM,-0.24,0.57,ENF,Temperate,ENF,Cold
US-xAB,US-xRN,0.33,0.34,ENF,Temperate,DBF,Temperate
US-xAB,US-xSB,-1.43,0.27,ENF,Temperate,ENF,Temperate
US-xAB,US-xSC,-0.54,0.6,ENF,Temperate,DBF,Cold
US-xAB,US-xSE,-0.51,0.21,ENF,Temperate,DBF,Temperate
US-xAB,US-xSJ,-2.77,0.05,ENF,Temperate,SAV,Temperate
US-xAB,US-xSL,-32.02,0.5,ENF,Temperate,CRO,Arid
US-xAB,US-xSR,-45.08,0.2,ENF,Temperate,OSH,Arid
US-xAB,US-xST,0.66,0.73,ENF,Temperate,DBF,Cold
US-xAB,US-xTA,0.33,0.33,ENF,Temperate,ENF,Temperate
US-xAB,US-xTL,-5.87,0.03,ENF,Temperate,WET,Cold
US-xAB,US-xTR,0.51,0.51,ENF,Temperate,DBF,Cold
US-xAB,US-xUK,0.51,0.55,ENF,Temperate,DBF,Cold
US-xAB,US-xUN,0.5,0.81,ENF,Temperate,MF,Cold
US-xAB,US-xWD,-0.51,0.52,ENF,Temperate,GRA,Cold
US-xAB,US-xWR,0.35,0.54,ENF,Temperate,ENF,Cold
US-xAB,US-xYE,0.15,0.41,ENF,Temperate,ENF,Cold
US-xAE,US-xAB,-2.28,0.32,GRA,Temperate,ENF,Temperate
US-xAE,US-xAE,0.91,0.91,GRA,Temperate,GRA,Temperate
US-xAE,US-xBL,-1.11,0.51,GRA,Temperate,DBF,Cold
US-xAE,US-xBN,-1.89,0.21,GRA,Temperate,ENF,Cold
US-xAE,US-xBR,-0.77,0.48,GRA,Temperate,DBF,Cold
US-xAE,US-xCL,-0.22,0.59,GRA,Temperate,GRA,Temperate
US-xAE,US-xCP,0.51,0.51,GRA,Temperate,GRA,Arid
US-xAE,US-xDC,-0.34,0.74,GRA,Temperate,GRA,Cold
US-xAE,US-xDJ,-2.25,0.18,GRA,Temperate,ENF,Cold
US-xAE,US-xDL,-0.88,0.47,GRA,Temperate,MF,Temperate
US-xAE,US-xDS,-0.55,0.15,GRA,Temperate,CVM,Temperate
US-xAE,US-xGR,-0.61,0.66,GRA,Temperate,DBF,Temperate
