training_site,xBR,xDC,xDJ,xDL,xDS,xHA,xKZ,xML,xNG,xRM,xSB,xSC,xSE,xSL,xST,xTL,xTR,xUK,xUN,xWD,xWR
xBR,0.7660596158516072,0.6245239443134591,0.2742455233540367,0.760959691637629,0.505543692175298,0.7410517846330574,0.7265052264967131,0.7096022563624329,0.5729484849487306,0.7551066706109967,0.675837123993866,0.6237168663218875,0.7238374885206618,0.400929082591669,0.8975644517277749,0.5522891532277174,0.7677547825332249,0.7950300770696981,0.7384976979054193,0.6323421347543214,0.4267288446334151
xDC,0.6971448858191072,0.8446232775110339,0.4459079482141753,0.47558576116851936,0.12714363256677202,0.7128146672453128,0.7177717607371552,0.587994526301114,0.8383579949939495,0.7332510730222245,0.33844029540368376,0.6731413973312068,0.6193199799243072,0.664797558395255,0.8678634788836134,0.49100843289707835,0.7525966453189967,0.707778221203134,0.7816191030764346,0.7178589780122351,0.355754453187907
xDJ,0.529585384945344,0.6441132463502105,0.7790182095689875,0.3822534846787624,0.06885918016303323,0.28113309337307846,0.4364372486555512,0.35558260015847204,0.6960924384018176,0.6061425389423536,0.3176716037558983,0.19435863136839043,0.20769792908628285,0.4170469611900808,0.659435698775047,0.2612415795008663,0.5790768563438934,0.36899430421684964,0.5540483768096273,0.5725470917629517,0.36359902326096394
xDL,0.7104906570434104,0.6676022896736349,0.516263438703331,0.8361005774543678,0.6040785143528979,0.7578914509427371,9.428994272504984e-05,0.6771953490611308,0.6374730087778289,0.6473023852932974,0.7782188853040057,0.6332677331995327,0.7699696084740577,0.5396182829880977,0.8574680044650778,0.00013196116907765614,0.7402606371392304,0.8501672350844758,0.8247589721663567,0.0003771421275889061,0.5657996176820147
xDS,0.7086172006329274,0.7123896224239965,0.6638283228686132,0.7777362942914026,0.7059989909057368,0.7666774522946407,0.7707370093684954,0.7460740223963991,0.6680149343953113,0.7068776734087122,0.8244828970193662,0.618882888390701,0.7222908286920298,0.6110714217290953,0.856646413588418,0.3817695901425648,0.7364590893200711,0.8030312155249432,0.8343707699248752,0.6600421467942336,0.617929256452682
xHA,0.7128052422249829,0.7135145415020183,0.719309844752009,0.7839361670568269,0.5676227581077161,0.7863342037798368,0.794022291365325,0.5913622188896633,0.653551331065011,0.7449753290424864,0.8046414529461362,0.6761301071652758,0.7328698357901317,0.6100320439162736,0.8804588787166484,0.5334878264085673,0.755159612267596,0.8333369163197696,0.8343828975659671,0.650829799129443,0.598743766833459
xKZ,0.693428240916244,0.6995820737823107,0.2549244029485011,0.6142385043848366,0.5388046021889281,0.6628271971502624,0.8605303034964777,0.6636701413263957,0.7656358137139385,0.7717586659970859,0.5540121249469543,0.6418405602921768,0.654108724639722,0.5054107943960819,0.86126799049389,0.5334910155131632,0.7605223892771098,0.8151554113950882,0.6890655480253243,0.7053560374388017,0.2223395575623623
xML,0.7000414037100535,0.6347436699324659,0.16489937131857485,0.6808370038161901,0.6146466723482059,0.7023110372144369,0.7535930501659085,0.7685611439166907,0.6154027032485855,0.6898265480621001,0.7489089212962307,0.5795590604834377,0.6587330344893957,0.4516942848804237,0.843528336397374,0.4623259340469905,0.7341111179861264,0.7592865345496963,0.7352091022562333,0.639787636165772,0.3522527693986439
xNG,0.5889781881996237,0.7736853925965518,0.3729378351320914,0.39621137537639134,0.2775833516885174,0.4459597479166655,0.7716107912745783,0.6784173589706357,0.856440969164796,0.587105260506721,0.30998380544351084,0.45871425411143013,0.5246023266896851,0.6148056711348087,0.6698424582063969,0.6166437772662098,0.6368254349133063,0.6635914824111138,0.7002619301010488,0.732695474989206,0.17136171381249127
xRM,0.6129998101952925,0.4420421293083942,0.4843917730855871,0.22096906903338057,0.15602530843967138,0.5541000549587239,1.6065567776092265e-05,0.5414397049229643,0.3669066003901705,0.8421948997267248,0.2116726087288865,0.04066741421631363,0.006608154941099583,0.2056463617078989,0.743719926865541,3.185902710799359e-05,0.5522468904796204,0.011029758250394754,0.635613114321572,5.810615985673861e-06,0.22600262889130396
xSB,0.6846626357979293,0.7161033976178379,0.7974175144805412,0.7924118552858546,0.6601276982417156,0.7732424451034545,0.7213104403048931,0.6755431862148412,0.647345297962177,0.7359399340605111,0.8577665700022183,0.6317123429429237,0.7339003003564832,0.6299089801758988,0.8411367205958602,0.425367145555316,0.7310699723187986,0.8113121396331426,0.8216919446301988,0.6153061656466031,0.631245438808371
