training_site,xBR,xDC,xDJ,xDL,xDS,xHA,xKZ,xML,xNG,xRM,xSB,xSC,xSE,xSL,xST,xTL,xTR,xUK,xUN,xWD,xWR
xBR,0.7618952438217391,0.6094111481189084,0.2773172029421351,0.7543638993576124,0.5042227446438863,0.7452130178080056,0.7136448171109232,0.7080781806572441,0.5729665432921127,0.7610088170036684,0.675880846628331,0.6167883618859419,0.7210386756078849,0.404411733190522,0.8979848500814319,0.575841899008467,0.7633170162696697,0.7865169405883902,0.7315781695970686,0.6307133667668515,0.4451459597814182
xDC,0.6816927276931536,0.8352771032282925,0.5404589206401128,0.5050446497657641,0.24572172065857587,0.7034233947541673,0.7645593907060144,0.6555175911748143,0.8414413742001816,0.7521335185363167,0.5023310339496891,0.6283866890109057,0.6404243385355116,0.713117955639182,0.8622540105871529,0.36094411225154216,0.7415413180211378,0.7380882296000979,0.780317941682802,0.7341235973459515,0.3891304782027766
xDJ,0.5345162352888061,0.6636835473390703,0.8199549592894967,0.15954958157671625,0.004704217651392837,0.06983164485481622,0.29760391731452673,0.21754920330334754,0.6716265737646262,0.7069387086107178,0.393516087287646,0.03696575994336424,0.1264532721869458,0.27354704777596095,0.6379986971844995,0.563617346090021,0.593340247926299,0.29831991758087173,0.6441497253636717,0.5335868506771344,0.32148520850461787
xDL,0.7120826649086679,0.6576935483958407,0.5035851386467085,0.8374130401027133,0.582516879786807,0.7518649552783067,4.471678412783526e-05,0.6788696594774021,0.6955113100551931,0.6633639117694,0.66760126415289,0.6117149225506483,0.7702549854316459,0.5339764401044077,0.8480590776405249,0.0003204505599829486,0.7315986228892666,0.8699639598320834,0.8015333545418357,0.0009110918488378714,0.5744183504657815
xDS,0.7174706577472015,0.7217866514253748,0.6554738651551464,0.7737076271169883,0.703576364885215,0.7748570070910821,0.7725109970777881,0.7575079289447105,0.6879950330720913,0.7304257187356722,0.8275858974216913,0.6206679813273184,0.7176838428694012,0.6219665612615475,0.8696322331811213,0.5116260693110269,0.7377921068868895,0.7997347466544468,0.8407957841275226,0.6851162864658165,0.6200943365784239
xHA,0.7323826799947063,0.6916143639622543,0.6629073770323392,0.7912485546444262,0.5731259787967821,0.7891683383433483,0.7968729176007416,0.6107702535759166,0.646433063720136,0.7494495505737182,0.8084165927234549,0.6698185494728599,0.7385061518164031,0.5708149063095559,0.8831964109669947,0.5283974716527023,0.7585075207835963,0.8375474369328414,0.8477796550755928,0.647788711644302,0.5958651878497816
xKZ,0.6906482547454386,0.6905069434552629,0.23716252032104654,0.6250651057540578,0.5477906673244302,0.6915195956039702,0.8605828883571024,0.6415328858044745,0.7685898129092799,0.775476257313032,0.5635898612445696,0.6618246707146495,0.662412304085899,0.5292059200587446,0.8670603208628006,0.5503321380191682,0.7643050788399507,0.8153581358330819,0.6784214617748251,0.6984652602439507,0.217493885976907
xML,0.6996465037122148,0.6319312620853426,0.15407652298217436,0.6654693956876339,0.6080063071848107,0.7099696685288309,0.7633833904632555,0.7652200225339889,0.628259909118293,0.7052056846081428,0.7350113600425959,0.5808811580426323,0.658591639008299,0.47282768189290963,0.8503486445061187,0.41980086816130574,0.7290708052890709,0.734160614452434,0.7209815653360373,0.646637923420038,0.3449644279365088
xNG,0.5301829572283866,0.7752067448956166,0.3180366824238603,0.28017035008447455,0.13444920985850575,0.5071614721758001,0.6844723713496036,0.41300969139804994,0.8567725877082613,0.6192539653681232,0.37270438570725634,0.5253675398553618,0.43884813752358237,0.6606811854228755,0.702095062133324,0.5870534215206651,0.6398293581897615,0.5519038858259655,0.5998551180971812,0.6746937086382012,0.1192080122534895
xRM,0.7187795906115896,0.6715081315620646,0.5379796675750201,0.643151623642024,0.4774882733665318,0.6969726946806065,2.9356895700139866e-05,0.6210820116468809,0.6847704520767594,0.8309712623342056,0.7482177140708103,0.6410089903548668,0.649961888329748,0.5168560985262287,0.867452095483279,8.02056350669253e-05,0.7593334749144365,0.7916673347370814,0.803243069712075,4.667003172623557e-05,0.4372525010134307
xSB,0.6834429216261274,0.7122015533984667,0.8016942945503983,0.7951544404926629,0.6586300172873399,0.7765942397786285,1.6850550946077757e-05,0.6697978797852624,0.6570341222485253,0.7354580024891996,0.8551840022971391,0.631591942870776,0.7330615867913546,0.6370238724023024,0.8414303206066148,0.00029179750162001955,0.7266151117332327,0.8155410464180047,0.8171031231628577,0.0002965996940020551,0.633760637918195
xSC,0.7400865270381108,0.7112366209621906,0.33381381198310917,0.6922507687817435,0.49921525428486263,0.7368325602625593,0.840478843432885,0.5235248535447038,0.7003350115465213,0.741612466820251,0.7811153241161798,0.7105921704025439,0.6983686973407087,0.5948307705357258,0.8865393757249602,0.5054675980495891,0.7746650754296684,0.8340986555375347,0.7761291040108199,0.6605941433196567,0.39674476593425156
xSE,0.7369348162815926,0.7060384801625847,0.5649776976603395,0.8179494250028407,0.5224351956660269,0.7533275652811401,0.7997529035898993,0.6864621312642654,0.694120507941202,0.6994844725101758,0.7104318142275292,0.6043856482026978,0.7734491791480829,0.5766404692875644,0.870104196826678,0.5633863162636905,0.7443111830665229,0.8521374193053621,0.8275512204342389,0.6544634392328639,0.5651426771507851
xSL,0.5532205245184614,0.7351928121627115,0.6034818943965902,0.5885210677067918,0.44559252216581985,0.6968390971570632,0.7763482444267574,0.46738611349587833,0.7509846371795257,0.5447711482602922,0.5814165498953828,0.6275292000786543,0.6105315504900359,0.7797661950543108,0.8070749837753058,0.3739872770411526,0.6705157415844594,0.5449289296308055,0.605095002164199,0.610855581635565,0.42069295524840766
xST,0.759325865910218,0.7109273276977501,0.3402375990142523,0.7623375727299313,0.5087390175224152,0.7607397121250483,0.8045413395981755,0.7031365239253377,0.6944175844486226,0.7434363305939077,0.7463384062879279,0.652706112137109,0.7354236306355035,0.5251324074696043,0.910306736099515,0.6325266359852901,0.7785405133365939,0.8391729693993786,0.757188153740717,0.6873936169885012,0.47171134844909524
xTL,0.1437338571137508,0.07772210034889261,0.013469330890484495,0.005754485868970507,0.001467175583867307,0.014795799678905168,0.0005473454477758358,0.13957078841168336,0.037822915142178545,0.022935657476866725,0.02562433165224904,0.004140788953775157,0.004501322138489397,0.03441932383926461,0.0801129700849322,0.6776990768558251,0.016800766759914813,0.016644015159194354,0.182315293886263,0.10116982806661823,0.1156918123524714
xTR,0.7208189900976245,0.6406352198046551,0.252995848613515,0.6864557048950332,0.5244690134267206,0.7122962467795512,0.8048012765152277,0.6664260727005182,0.635677956771443,0.7598989382896904,0.7184703703004035,0.6488195595892412,0.7014247393315204,0.43837265992173585,0.8842924778307559,0.5912755948560663,0.7715035998257704,0.809558255725723,0.7278110080146571,0.6524588103088323,0.2949262545874791
xUK,0.7347672579757816,0.6583967462940177,0.49302505856211254,0.7974694842774714,0.6256498443246903,0.7620306897426098,0.0001649286465033429,0.6926278483542583,0.6862320523969779,0.7667433022658136,0.7385793125193624,0.6325419354989992,0.7410089962932294,0.5360975486857869,0.8902847775222533,0.0002139647277700183,0.7640440098287191,0.8781530864542425,0.8024071936553706,4.1897170782992536e-06,0.5505054208493154
xUN,0.7489320422399586,0.7037887027469764,0.7475231485060013,0.7873513064666775,0.5405745112517898,0.7699097305956002,0.7710434141306987,0.6773053330900894,0.6695827695082838,0.7758460821096808,0.7725789703177055,0.6674195482419264,0.7263826529193702,0.5037992434298405,0.9027097850373977,0.5870936151069935,0.7718739328865128,0.8346150331931892,0.8850001468174629,0.6780630670369161,0.5876874583567683
xWD,0.6714091420776203,0.8048659385868197,0.5308390342280839,0.59303744291959,0.5236462259402903,0.7000828752339721,0.8130969247633089,0.7646598987620975,0.8423457236483489,0.7584414002271207,0.5172771558480531,0.582713595401964,0.6283949067087552,0.680235542184781,0.8512648667586638,0.5857726713590594,0.7313986564435072,0.7969413102974627,0.7876750551095686,0.7733218771435675,0.36961269345037484
xWR,0.7336418998261485,0.7807736160158149,0.6834551331187522,0.7750534782472699,0.5672972816155999,0.7916198322456827,0.7458635291876831,0.6982340339778064,0.7280001238612592,0.7665297169106539,0.8000638417153296,0.6709876537118593,0.7261226498904461,0.6655124562299314,0.8985764715297879,0.6086472858479673,0.760521716891958,0.831116013036141,0.8647525644951962,0.7056162788344823,0.6760631252845473
