training_site,xBR,xDC,xDJ,xDL,xDS,xHA,xKZ,xML,xNG,xRM,xSB,xSC,xSE,xSL,xST,xTL,xTR,xUK,xUN,xWD,xWR
xBR,0.7581158511821627,0.14773807077060164,-0.3199625836082909,-2.629134345497839,-94.93947786502669,0.7225187045499333,-3.3749724070353464,0.6184362712471194,-3.394116913106373,0.6776860158218172,-56.768959833720764,-0.33310311741818244,0.09398631474241381,-178.75745795041428,0.8311680064827751,-0.5806875052289293,0.7472626235960664,0.18862465138601336,0.46980256182761126,-1.3956364954433655,0.3494481608416874
xDC,0.5328371921324999,0.8324128360912085,0.5059060320050537,-2.116174643718458,-40.725608275639516,0.6831849052205063,-0.013181949509747826,0.6416434551265835,0.7538405042432952,0.40482722676307903,-6.170501164142158,0.13386449574380876,0.3259020568587765,-10.831043676982912,0.848225843048626,0.23845909952726008,0.7272220723878157,0.7207998602335606,0.7642384755541118,0.5985153653128206,0.014215126674827827
xDJ,0.411227348474151,0.5621894365714347,0.8120102597489114,-0.6430217468065496,-13.414306482326921,-2.7662888190967676,0.1693350111400358,-1.136499150544335,0.659049919766137,0.5153907315418846,0.0038688545311654776,-2.592273775755857,-0.2469487140576161,-2.703949118397115,0.5844551472961446,0.36422794108300605,0.502238005777541,0.11894721462273194,0.5545149093738417,0.490397426950542,-0.14630263483479355
xDL,0.12163037742228133,0.5508272773421632,0.2880754295507526,0.8352676508206349,-8.12990727892555,0.3720180877457063,-1.8349293340547425e+171,0.07211561116605525,0.6750623661523962,0.02123451616558647,-0.7682581589286457,0.2836776782577435,0.6404530166064215,-15.255679361478439,0.5629786115051754,-1.8666457407075645e+175,0.45435253215189153,0.6082090192851173,0.43228532977054535,-3.733373104950162e+173,-0.38279262420100135
xDS,-0.19378659666844245,0.19157293121662844,0.20959587462782392,-0.10088118948094316,0.7010992957883977,-0.15074640343868584,0.42091555018458826,-0.43808163442216297,0.4719693217858223,-0.1895047107541461,0.6103325542506477,-0.72468451227785,-0.13288985066716874,0.10377401831855682,0.08144422102695881,0.2707669111171206,0.07715247258733127,-0.008775786268332642,0.1877901861421275,0.3539434574317267,-0.8330868627112304
xHA,0.6429249021350587,0.6663757608743883,0.6449821595510694,-0.645005784226168,-35.70716198491481,0.7851657676711113,-0.48588160682043924,0.5968289117921963,-0.09765333502654072,0.7207205767776956,-11.572976927446188,0.14021799229035725,0.4727945981873417,-36.34718430687281,0.8800079792846571,-0.010897193725229348,0.7511118976448413,0.7664663741817019,0.8399763529235303,0.2018358076464506,0.3460734880502735
xKZ,-0.2612349860805956,0.38146801690841947,-0.02751652217344902,0.5872271376143505,-9.57539885158613,0.048389372098029626,0.8578587454134721,-0.1404504399181865,0.6998686963050793,-0.44842431185632314,-1.3677142573596623,0.16141682102143295,0.3360440977770539,-15.529307895682809,0.2599020018353293,0.19054220467866834,0.22325988809063402,0.3188381566236226,0.11228013624914457,0.5246848892166865,-0.7758464650527621
xML,0.6208660160803234,0.43113211771971116,-0.10307521690746224,-2.8143173849096805,-93.48246568832437,0.684646025707931,-2.3415322329211268,0.7612836466590142,-2.143986003214652,0.5602057651639158,-73.20010623115309,0.04341080185541624,0.22113131479691128,-97.62500897345541,0.84643861859617,-0.104893014433451,0.7240085722818254,0.166199884501242,0.6370738027731058,-0.6775339757820296,0.15114559734417699
xNG,0.06847731791907297,0.6606978463914082,0.17508728098373716,-2.8234930301229424,-39.84283544753703,0.3730164305207466,0.24373082623925024,0.25909342820093173,0.851845851252865,-0.2306856992276518,-2.904496665815344,0.1443794140266832,0.26153750204436466,-9.886573486895813,0.5898922423545669,0.49605085092316437,0.4805756303630718,0.42815439370660247,0.4032949664099016,0.6376739242218747,-0.5004839945890764
xRM,0.7100859666218824,0.39013512752478585,0.42441857092671054,-8.561699547256184,-156.2109726566994,0.5813569912784264,-1.5945072804350663e+24,0.4033776915579683,-1.5982356122243941,0.8219403593187322,-52.82773082586256,-1.7666372125425127,-0.982090676000702,-112.4141767259494,0.7359189274361699,-2.602632068385906e+29,0.7335745555751387,0.06696140139345097,0.7089575062085154,-5.508242976406278e+21,0.4090944635675112
