training_site,US-xBR,US-xDC,US-xDJ,US-xDL,US-xDS,US-xHA,US-xKZ,US-xML,US-xNG,US-xRM,US-xSB,US-xSC,US-xSE,US-xSL,US-xST,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR
US-xBR,0.81,0.41,-0.33,-5.7,-75.12,0.18,-3.44,0.21,-0.85,0.19,-17.45,-3.71,-1.7,-72.62,0.3,-4.04,0.49,-0.02,0.25,-1.03,0.27
US-xDC,0.6,0.89,0.42,-0.5,-17.87,0.69,0.22,0.63,0.64,0.45,-1.52,0.08,0.33,-6.95,0.81,0.22,0.76,0.7,0.69,0.49,0.15
US-xDJ,0.59,0.74,0.92,0.64,-2.72,0.71,0.66,0.57,0.7,0.63,0.49,0.62,0.63,-4.89,0.87,0.33,0.69,0.71,0.83,0.66,0.22
US-xDL,0.19,0.61,0.24,0.87,-4.35,0.33,0.81,0.1,0.74,-0.01,0.16,0.18,0.67,-5.2,0.59,0.51,0.51,0.6,0.53,0.59,-0.32
US-xDS,-0.22,0.14,0.38,-0.02,0.79,-0.09,0.39,-0.47,0.41,0.04,0.47,-0.58,-0.13,-0.61,0.08,0.22,0.04,-0.05,0.12,0.25,-0.77
US-xHA,0.17,0.52,0.5,0.12,-7.11,0.83,0.42,-0.12,0.23,0.4,-2.73,0.55,0.47,-4.67,0.78,-1.9,0.56,0.22,0.18,0.24,-0.42
US-xKZ,-0.3,0.39,0.09,0.7,-4.32,0.06,0.9,-0.2,0.7,-0.3,-0.02,0.25,0.42,-5.42,0.22,0.39,0.24,0.37,0.14,0.5,-0.71
US-xML,0.57,0.6,0.46,0.26,-2.39,0.26,0.31,0.86,0.36,0.35,-0.86,0.31,0.24,-1.68,0.53,-0.2,0.45,0.49,0.79,0.46,0.24
US-xNG,0.3,0.7,0.26,0.66,-3.59,0.46,0.81,0.36,0.89,-0.2,-0.19,0.19,0.6,-3.44,0.68,0.14,0.55,0.48,0.49,0.73,-0.31
US-xRM,0.57,0.62,0.53,0.23,-1.76,0.54,0.41,0.55,0.54,0.92,-0.12,0.38,0.32,-3.86,0.74,0.47,0.61,0.47,0.73,0.56,0.35
US-xSB,0.14,0.43,0.55,0.52,-0.15,0.29,0.66,0,0.61,0.29,0.89,0.17,0.39,-1.85,0.47,0.58,0.35,0.41,0.47,0.55,-0.38
US-xSC,0.18,0.52,0.57,0.39,-6.39,0.67,0.53,0.12,0.41,0.34,-1.28,0.76,0.6,-6.82,0.74,-0.26,0.51,0.21,0.25,0.34,-0.31
US-xSE,0.46,0.71,0.46,0.54,-3.67,0.67,0.57,0.42,0.63,0.54,-0.07,0.52,0.85,-6.64,0.79,0.37,0.65,0.77,0.69,0.6,0.03
US-xSL,-0.42,0.12,-0.1,-0.19,0.43,-0.05,0.33,-0.75,0.23,-0.96,-0.55,-0.79,-0.14,0.84,0.11,-0.03,0.08,-0.23,-0.23,0.1,-1.27
US-xST,0.58,0.79,0.65,0.54,-4.31,0.77,0.65,0.59,0.74,0.62,0.28,0.65,0.65,-4.92,0.94,0.42,0.76,0.74,0.78,0.65,0.22
US-xTL,-0.04,0.33,0.24,0.07,0.08,0.21,0.42,-0.04,0.58,0.23,-0.22,0.17,0.13,-1.73,0.38,0.77,0.27,0.05,0.25,0.38,-0.51
US-xTR,0.56,0.77,0.11,0.14,-11.51,0.67,0.31,0.66,0.09,0.43,-4.97,0.16,0.52,-15.19,0.87,0.41,0.83,0.78,0.67,0.3,0.14
US-xUK,0.49,0.74,0.63,0.26,-11.85,0.71,0.33,0.6,0.21,0.48,-2.72,0.39,0.59,-14.46,0.86,0.37,0.76,0.92,0.76,0.31,0.2
US-xUN,0.68,0.77,0.66,0.64,-5.44,0.67,0.6,0.69,0.48,0.66,-0.86,0.53,0.68,-9.75,0.85,0.45,0.71,0.79,0.91,0.54,0.35
US-xWD,0.43,0.73,0.13,0.58,-4.16,0.48,0.73,0.59,0.78,0.28,-0.51,0.38,0.56,-3.29,0.69,0.09,0.55,0.59,0.67,0.81,-0.04
US-xWR,0.59,0.58,0.33,-0.11,-9.26,0.63,-0.09,0.33,-0.48,0.46,-3.19,0.36,0.22,-12.37,0.6,-1.3,0.63,0.65,0.35,-0.33,0.75
