training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xBR,US-xBR,0.81,0.81,DBF,Cold,DBF,Cold
US-xBR,US-xDC,0.41,0.74,DBF,Cold,GRA,Cold
US-xBR,US-xDJ,-0.33,0.29,DBF,Cold,ENF,Cold
US-xBR,US-xDL,-5.7,0.64,DBF,Cold,MF,Temperate
US-xBR,US-xDS,-75.12,0.32,DBF,Cold,CVM,Temperate
US-xBR,US-xHA,0.18,0.73,DBF,Cold,DBF,Cold
US-xBR,US-xKZ,-3.44,0.79,DBF,Cold,GRA,Cold
US-xBR,US-xML,0.21,0.54,DBF,Cold,DBF,Cold
US-xBR,US-xNG,-0.85,0.72,DBF,Cold,GRA,Cold
US-xBR,US-xRM,0.19,0.61,DBF,Cold,ENF,Cold
US-xBR,US-xSB,-17.45,0.56,DBF,Cold,ENF,Temperate
US-xBR,US-xSC,-3.71,0.67,DBF,Cold,DBF,Cold
US-xBR,US-xSE,-1.7,0.71,DBF,Cold,DBF,Temperate
US-xBR,US-xSL,-72.62,0.63,DBF,Cold,CRO,Arid
US-xBR,US-xST,0.3,0.83,DBF,Cold,DBF,Cold
US-xBR,US-xTL,-4.04,0.58,DBF,Cold,WET,Cold
US-xBR,US-xTR,0.49,0.72,DBF,Cold,DBF,Cold
US-xBR,US-xUK,-0.02,0.73,DBF,Cold,DBF,Cold
US-xBR,US-xUN,0.25,0.66,DBF,Cold,MF,Cold
US-xBR,US-xWD,-1.03,0.63,DBF,Cold,GRA,Cold
US-xBR,US-xWR,0.27,0.41,DBF,Cold,ENF,Cold
US-xDC,US-xBR,0.6,0.67,GRA,Cold,DBF,Cold
US-xDC,US-xDC,0.89,0.89,GRA,Cold,GRA,Cold
US-xDC,US-xDJ,0.42,0.43,GRA,Cold,ENF,Cold
US-xDC,US-xDL,-0.5,0.56,GRA,Cold,MF,Temperate
US-xDC,US-xDS,-17.87,0.08,GRA,Cold,CVM,Temperate
US-xDC,US-xHA,0.69,0.73,GRA,Cold,DBF,Cold
US-xDC,US-xKZ,0.22,0.71,GRA,Cold,GRA,Cold
US-xDC,US-xML,0.63,0.67,GRA,Cold,DBF,Cold
US-xDC,US-xNG,0.64,0.77,GRA,Cold,GRA,Cold
US-xDC,US-xRM,0.45,0.68,GRA,Cold,ENF,Cold
US-xDC,US-xSB,-1.52,0.19,GRA,Cold,ENF,Temperate
US-xDC,US-xSC,0.08,0.64,GRA,Cold,DBF,Cold
US-xDC,US-xSE,0.33,0.69,GRA,Cold,DBF,Temperate
US-xDC,US-xSL,-6.95,0.56,GRA,Cold,CRO,Arid
US-xDC,US-xST,0.81,0.87,GRA,Cold,DBF,Cold
US-xDC,US-xTL,0.22,0.36,GRA,Cold,WET,Cold
US-xDC,US-xTR,0.76,0.76,GRA,Cold,DBF,Cold
US-xDC,US-xUK,0.7,0.72,GRA,Cold,DBF,Cold
US-xDC,US-xUN,0.69,0.7,GRA,Cold,MF,Cold
US-xDC,US-xWD,0.49,0.71,GRA,Cold,GRA,Cold
US-xDC,US-xWR,0.15,0.45,GRA,Cold,ENF,Cold
US-xDJ,US-xBR,0.59,0.7,ENF,Cold,DBF,Cold
US-xDJ,US-xDC,0.74,0.77,ENF,Cold,GRA,Cold
US-xDJ,US-xDJ,0.92,0.92,ENF,Cold,ENF,Cold
US-xDJ,US-xDL,0.64,0.71,ENF,Cold,MF,Temperate
US-xDJ,US-xDS,-2.72,0.47,ENF,Cold,CVM,Temperate
US-xDJ,US-xHA,0.71,0.75,ENF,Cold,DBF,Cold
US-xDJ,US-xKZ,0.66,0.73,ENF,Cold,GRA,Cold
US-xDJ,US-xML,0.57,0.6,ENF,Cold,DBF,Cold
US-xDJ,US-xNG,0.7,0.74,ENF,Cold,GRA,Cold
US-xDJ,US-xRM,0.63,0.8,ENF,Cold,ENF,Cold
US-xDJ,US-xSB,0.49,0.73,ENF,Cold,ENF,Temperate
US-xDJ,US-xSC,0.62,0.63,ENF,Cold,DBF,Cold
US-xDJ,US-xSE,0.63,0.65,ENF,Cold,DBF,Temperate
US-xDJ,US-xSL,-4.89,0.69,ENF,Cold,CRO,Arid
US-xDJ,US-xST,0.87,0.88,ENF,Cold,DBF,Cold
US-xDJ,US-xTL,0.33,0.62,ENF,Cold,WET,Cold
US-xDJ,US-xTR,0.69,0.75,ENF,Cold,DBF,Cold
US-xDJ,US-xUK,0.71,0.81,ENF,Cold,DBF,Cold
US-xDJ,US-xUN,0.83,0.86,ENF,Cold,MF,Cold
US-xDJ,US-xWD,0.66,0.7,ENF,Cold,GRA,Cold
US-xDJ,US-xWR,0.22,0.63,ENF,Cold,ENF,Cold
