training_site,US-xBR,US-xDC,US-xDJ,US-xDL,US-xDS,US-xHA,US-xKZ,US-xML,US-xNG,US-xRM,US-xSB,US-xSC,US-xSE,US-xSL,US-xST,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR
US-xBR,0.81,0.74,0.29,0.64,0.32,0.73,0.79,0.54,0.72,0.61,0.56,0.67,0.71,0.63,0.83,0.58,0.72,0.73,0.66,0.63,0.41
US-xDC,0.67,0.89,0.43,0.56,0.08,0.73,0.71,0.67,0.77,0.68,0.19,0.64,0.69,0.56,0.87,0.36,0.76,0.72,0.7,0.71,0.45
US-xDJ,0.7,0.77,0.92,0.71,0.47,0.75,0.73,0.6,0.74,0.8,0.73,0.63,0.65,0.69,0.88,0.62,0.75,0.81,0.86,0.7,0.63
US-xDL,0.71,0.73,0.58,0.87,0.54,0.7,0.83,0.71,0.76,0.64,0.52,0.57,0.76,0.66,0.85,0.58,0.74,0.84,0.84,0.66,0.57
US-xDS,0.4,0.41,0.39,0.73,0.79,0.39,0.63,0.42,0.53,0.21,0.76,0.28,0.54,0.51,0.35,0.3,0.34,0.7,0.61,0.37,0.3
US-xHA,0.37,0.59,0.52,0.37,0.05,0.83,0.5,0.12,0.24,0.41,0.03,0.67,0.52,0.41,0.78,0.24,0.58,0.34,0.26,0.28,0.23
US-xKZ,0.68,0.67,0.45,0.71,0.56,0.59,0.9,0.55,0.74,0.61,0.53,0.63,0.67,0.7,0.78,0.47,0.7,0.79,0.72,0.64,0.29
US-xML,0.62,0.61,0.49,0.32,0.02,0.52,0.35,0.86,0.61,0.45,0.1,0.52,0.37,0.25,0.59,0.51,0.49,0.53,0.83,0.63,0.53
US-xNG,0.68,0.8,0.48,0.69,0.54,0.68,0.81,0.72,0.89,0.59,0.32,0.58,0.69,0.68,0.84,0.47,0.74,0.72,0.67,0.75,0.23
US-xRM,0.62,0.66,0.68,0.24,0,0.62,0.46,0.65,0.62,0.92,0.15,0.41,0.34,0.38,0.79,0.57,0.68,0.59,0.78,0.63,0.53
US-xSB,0.67,0.69,0.73,0.79,0.61,0.74,0.73,0.65,0.64,0.63,0.89,0.63,0.71,0.62,0.79,0.61,0.69,0.8,0.83,0.62,0.59
US-xSC,0.37,0.59,0.57,0.44,0.13,0.72,0.58,0.24,0.41,0.36,0.13,0.76,0.6,0.56,0.81,0.31,0.58,0.34,0.37,0.35,0.2
US-xSE,0.74,0.73,0.48,0.54,0.31,0.69,0.65,0.6,0.69,0.66,0.68,0.62,0.85,0.57,0.83,0.63,0.71,0.82,0.77,0.63,0.54
US-xSL,0.57,0.77,0.64,0.74,0.58,0.74,0.8,0.62,0.74,0.46,0.69,0.59,0.69,0.84,0.84,0.33,0.73,0.8,0.59,0.63,0.54
US-xST,0.72,0.81,0.67,0.7,0.2,0.77,0.75,0.59,0.8,0.71,0.45,0.69,0.66,0.64,0.94,0.58,0.78,0.81,0.81,0.72,0.59
US-xTL,0.6,0.62,0.25,0.42,0.2,0.46,0.62,0.29,0.75,0.4,0.35,0.42,0.37,0.58,0.59,0.77,0.57,0.48,0.7,0.46,0.28
US-xTR,0.69,0.78,0.26,0.62,0.48,0.68,0.74,0.67,0.74,0.61,0.75,0.42,0.66,0.59,0.88,0.56,0.83,0.8,0.7,0.71,0.34
US-xUK,0.68,0.76,0.67,0.79,0.48,0.72,0.82,0.63,0.75,0.65,0.67,0.66,0.74,0.69,0.87,0.56,0.76,0.93,0.79,0.69,0.53
US-xUN,0.76,0.77,0.7,0.75,0.62,0.74,0.75,0.73,0.76,0.72,0.65,0.61,0.69,0.63,0.86,0.6,0.74,0.83,0.91,0.73,0.56
US-xWD,0.7,0.82,0.19,0.6,0.38,0.67,0.75,0.79,0.81,0.76,0.37,0.57,0.63,0.52,0.82,0.15,0.71,0.79,0.71,0.81,0.31
US-xWR,0.68,0.73,0.74,0.55,0.21,0.74,0.58,0.72,0.71,0.65,0.5,0.66,0.56,0.58,0.87,0.29,0.72,0.75,0.68,0.7,0.75
