training_site,US-xBR,US-xDC,US-xDJ,US-xDL,US-xDS,US-xHA,US-xKZ,US-xML,US-xNG,US-xRM,US-xSB,US-xSC,US-xSE,US-xSL,US-xST,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR
US-xBR,0.87,0.79,0.28,0.54,0.15,0.72,0.71,0.6,0.72,0.67,0.35,0.68,0.73,0.62,0.86,0.59,0.75,0.73,0.67,0.68,0.32
US-xDC,0.65,0.9,0.25,0.52,0.08,0.7,0.73,0.65,0.76,0.66,0.19,0.69,0.71,0.68,0.87,0.52,0.76,0.72,0.66,0.71,0.31
US-xDJ,0.69,0.77,0.96,0.31,0.2,0.71,0.56,0.53,0.73,0.75,0.51,0.34,0.51,0.61,0.84,0.63,0.73,0.67,0.86,0.7,0.58
US-xDL,0.65,0.66,0.59,0.91,0.55,0.62,0.8,0.66,0.69,0.5,0.7,0.55,0.75,0.64,0.74,0.51,0.68,0.82,0.8,0.59,0.51
US-xDS,0.6,0.55,0.66,0.72,0.82,0.62,0.69,0.58,0.61,0.59,0.72,0.41,0.6,0.57,0.66,0.57,0.55,0.7,0.74,0.56,0.53
US-xHA,0.72,0.75,0.66,0.41,0.06,0.86,0.64,0.45,0.7,0.68,0.33,0.65,0.63,0.61,0.8,0.54,0.71,0.65,0.83,0.62,0.51
US-xKZ,0.66,0.66,0.28,0.68,0.53,0.63,0.92,0.49,0.71,0.65,0.42,0.62,0.68,0.69,0.78,0.61,0.71,0.8,0.58,0.62,0.2
US-xML,0.67,0.69,0.26,0.16,0.02,0.63,0.42,0.91,0.71,0.56,0.26,0.5,0.32,0.4,0.68,0.5,0.58,0.61,0.66,0.69,0.39
US-xNG,0.66,0.81,0.34,0.64,0.31,0.69,0.79,0.64,0.91,0.73,0.21,0.65,0.68,0.65,0.86,0.6,0.75,0.74,0.59,0.73,0.18
US-xRM,0.5,0.57,0.49,0.01,0,0.52,0.35,0.54,0.54,0.95,0.04,0.22,0.21,0.38,0.66,0.49,0.61,0.34,0.48,0.56,0.48
US-xSB,0.65,0.7,0.79,0.77,0.63,0.75,0.69,0.64,0.62,0.69,0.91,0.6,0.7,0.59,0.8,0.59,0.69,0.77,0.81,0.63,0.58
US-xSC,0.67,0.73,0.45,0.46,0.09,0.69,0.67,0.56,0.6,0.57,0.27,0.85,0.67,0.61,0.83,0.57,0.7,0.61,0.71,0.59,0.33
US-xSE,0.74,0.73,0.31,0.63,0.4,0.68,0.69,0.6,0.67,0.66,0.68,0.62,0.9,0.6,0.82,0.54,0.7,0.78,0.68,0.63,0.44
US-xSL,0.42,0.71,0.46,0.64,0.34,0.68,0.79,0.35,0.69,0.33,0.26,0.62,0.63,0.88,0.74,0.29,0.62,0.62,0.35,0.56,0.26
US-xST,0.76,0.79,0.36,0.64,0.23,0.76,0.72,0.63,0.76,0.71,0.36,0.66,0.63,0.64,0.96,0.59,0.78,0.75,0.75,0.71,0.45
US-xTL,0.69,0.74,0.77,0.5,0.26,0.75,0.55,0.67,0.69,0.76,0.41,0.56,0.55,0.54,0.84,0.83,0.7,0.66,0.84,0.69,0.59
US-xTR,0.7,0.79,0.2,0.41,0.12,0.67,0.68,0.66,0.75,0.65,0.43,0.6,0.65,0.62,0.88,0.54,0.89,0.74,0.67,0.72,0.37
US-xUK,0.67,0.75,0.41,0.78,0.45,0.7,0.82,0.64,0.74,0.64,0.66,0.65,0.73,0.68,0.85,0.57,0.75,0.95,0.7,0.68,0.4
US-xUN,0.75,0.78,0.7,0.66,0.43,0.78,0.67,0.74,0.75,0.73,0.6,0.65,0.65,0.6,0.9,0.59,0.76,0.78,0.94,0.73,0.6
US-xWD,0.69,0.8,0.25,0.61,0.36,0.64,0.76,0.74,0.78,0.68,0.24,0.58,0.63,0.53,0.79,0.08,0.71,0.7,0.64,0.86,0.3
US-xWR,0.68,0.75,0.77,0.65,0.5,0.74,0.63,0.7,0.7,0.71,0.72,0.63,0.62,0.58,0.87,0.61,0.71,0.73,0.8,0.7,0.81
