training_site,US-xBR,US-xDC,US-xDJ,US-xDL,US-xDS,US-xHA,US-xKZ,US-xML,US-xNG,US-xRM,US-xSB,US-xSC,US-xSE,US-xSL,US-xST,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR
US-xBR,0.87,0.68,-0.5,-0.81,-19.35,0.5,-0.37,0.35,-0.14,0.39,-4.88,-0.6,0.06,-24.23,0.59,-2.3,0.67,0.54,0.25,-0.21,0.19
US-xDC,0.56,0.9,0.13,0,-12.03,0.68,0.42,0.6,0.57,0.49,-1.28,0.27,0.51,-9.75,0.84,0.37,0.76,0.72,0.66,0.48,0.1
US-xDJ,0.56,0.72,0.95,0.23,-0.86,0.61,0.54,0.42,0.7,0.66,0.41,0.12,0.45,-3.13,0.8,-0.01,0.64,0.51,0.83,0.68,0.11
US-xDL,0.23,0.59,0.42,0.91,-4.8,0.38,0.77,0.12,0.67,0.18,0.08,0.35,0.68,-6.68,0.61,0.45,0.51,0.66,0.57,0.57,-0.25
US-xDS,-0.09,0.17,0.45,0.02,0.82,-0.08,0.43,-0.43,0.47,0.16,0.47,-0.58,-0.12,-0.35,0.13,0.48,0.07,0.01,0.24,0.34,-0.69
US-xHA,0.44,0.7,0.65,0.34,-5.29,0.86,0.53,0.41,0.67,0.66,0.11,0.54,0.6,-6.69,0.8,0.05,0.69,0.6,0.73,0.6,0.08
US-xKZ,-0.2,0.42,0.11,0.67,-4.14,0.16,0.92,-0.14,0.68,-0.19,-0.1,0.3,0.48,-5.35,0.27,0.57,0.28,0.41,0.12,0.5,-0.69
US-xML,0.65,0.69,0.01,0.11,-3.54,0.56,0.36,0.91,0.27,0.49,-1.55,0.34,0.28,-5.4,0.67,-0.38,0.56,0.6,0.52,0.41,0.26
US-xNG,0.29,0.72,0.27,0.58,-2.96,0.57,0.77,0.46,0.91,0.15,-0.08,0.57,0.63,-3.55,0.76,0.44,0.6,0.54,0.46,0.72,-0.25
US-xRM,0.42,0.53,0.24,-0.08,-1.15,0.43,0.32,0.47,0.46,0.95,-0.15,0.22,0.2,-4.21,0.6,0.44,0.52,0.23,0.46,0.52,0.24
US-xSB,0.21,0.44,0.63,0.5,-0.05,0.32,0.63,-0.02,0.6,0.39,0.91,0.07,0.41,-1.88,0.5,0.49,0.37,0.4,0.51,0.57,-0.33
US-xSC,0.53,0.62,0.24,0.45,-4.17,0.61,0.56,0.53,0.46,0.53,0.2,0.85,0.64,-6.66,0.74,-1.24,0.59,0.51,0.58,0.49,0.15
US-xSE,0.47,0.71,0.29,0.6,-5.33,0.64,0.56,0.44,0.56,0.55,-0.97,0.5,0.9,-8.33,0.77,0.32,0.64,0.76,0.65,0.58,0.03
US-xSL,-0.75,-0.04,-0.24,-0.65,-0.27,-0.27,0.15,-1.07,0.09,-1.06,-2.08,-0.95,-0.41,0.88,-0.14,0.05,-0.11,-0.56,-0.58,-0.1,-1.49
US-xST,0.67,0.78,0.27,0.46,-4.03,0.75,0.62,0.63,0.65,0.66,-0.06,0.63,0.61,-6.51,0.96,0.08,0.76,0.7,0.74,0.61,0.26
US-xTL,-0.22,0.1,0.33,-0.86,-0.78,-0.18,0.03,-0.47,0.33,-0.04,-1.22,-0.94,-0.45,0.48,0.06,0.83,0.03,-0.35,0.14,0.23,-0.9
US-xTR,0.63,0.79,-0.16,-0.01,-8.26,0.63,0.4,0.61,0.36,0.54,-1.62,0.38,0.5,-12.04,0.85,0.08,0.89,0.73,0.56,0.37,0.24
US-xUK,0.48,0.74,0.39,0.27,-13.07,0.68,0.34,0.6,0.25,0.46,-2.76,0.42,0.64,-14.32,0.84,0.43,0.74,0.95,0.69,0.33,0.13
US-xUN,0.66,0.78,0.68,0.52,-2.89,0.74,0.6,0.73,0.54,0.65,-0.23,0.62,0.63,-6.07,0.89,0.29,0.73,0.72,0.94,0.59,0.33
US-xWD,0.39,0.7,0.22,0.59,-2.33,0.39,0.73,0.48,0.74,0.24,-0.19,0.31,0.51,-3.12,0.63,-0.22,0.53,0.48,0.58,0.85,-0.03
US-xWR,0.57,0.49,-0.02,-0.26,-13.8,0.55,-0.4,0.24,-0.96,0.11,-5.3,0.13,0.06,-19.1,0.5,-4.12,0.58,0.46,0.3,-0.71,0.81
