training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xBR,US-xBR,0.87,0.87,DBF,Cold,DBF,Cold
US-xBR,US-xDC,0.68,0.79,DBF,Cold,GRA,Cold
US-xBR,US-xDJ,-0.5,0.28,DBF,Cold,ENF,Cold
US-xBR,US-xDL,-0.81,0.54,DBF,Cold,MF,Temperate
US-xBR,US-xDS,-19.35,0.15,DBF,Cold,CVM,Temperate
US-xBR,US-xHA,0.5,0.72,DBF,Cold,DBF,Cold
US-xBR,US-xKZ,-0.37,0.71,DBF,Cold,GRA,Cold
US-xBR,US-xML,0.35,0.6,DBF,Cold,DBF,Cold
US-xBR,US-xNG,-0.14,0.72,DBF,Cold,GRA,Cold
US-xBR,US-xRM,0.39,0.67,DBF,Cold,ENF,Cold
US-xBR,US-xSB,-4.88,0.35,DBF,Cold,ENF,Temperate
US-xBR,US-xSC,-0.6,0.68,DBF,Cold,DBF,Cold
US-xBR,US-xSE,0.06,0.73,DBF,Cold,DBF,Temperate
US-xBR,US-xSL,-24.23,0.62,DBF,Cold,CRO,Arid
US-xBR,US-xST,0.59,0.86,DBF,Cold,DBF,Cold
US-xBR,US-xTL,-2.3,0.59,DBF,Cold,WET,Cold
US-xBR,US-xTR,0.67,0.75,DBF,Cold,DBF,Cold
US-xBR,US-xUK,0.54,0.73,DBF,Cold,DBF,Cold
US-xBR,US-xUN,0.25,0.67,DBF,Cold,MF,Cold
US-xBR,US-xWD,-0.21,0.68,DBF,Cold,GRA,Cold
US-xBR,US-xWR,0.19,0.32,DBF,Cold,ENF,Cold
US-xDC,US-xBR,0.56,0.65,GRA,Cold,DBF,Cold
US-xDC,US-xDC,0.9,0.9,GRA,Cold,GRA,Cold
US-xDC,US-xDJ,0.13,0.25,GRA,Cold,ENF,Cold
US-xDC,US-xDL,0.0,0.52,GRA,Cold,MF,Temperate
US-xDC,US-xDS,-12.03,0.08,GRA,Cold,CVM,Temperate
US-xDC,US-xHA,0.68,0.7,GRA,Cold,DBF,Cold
US-xDC,US-xKZ,0.42,0.73,GRA,Cold,GRA,Cold
US-xDC,US-xML,0.6,0.65,GRA,Cold,DBF,Cold
US-xDC,US-xNG,0.57,0.76,GRA,Cold,GRA,Cold
US-xDC,US-xRM,0.49,0.66,GRA,Cold,ENF,Cold
US-xDC,US-xSB,-1.28,0.19,GRA,Cold,ENF,Temperate
US-xDC,US-xSC,0.27,0.69,GRA,Cold,DBF,Cold
US-xDC,US-xSE,0.51,0.71,GRA,Cold,DBF,Temperate
US-xDC,US-xSL,-9.75,0.68,GRA,Cold,CRO,Arid
US-xDC,US-xST,0.84,0.87,GRA,Cold,DBF,Cold
US-xDC,US-xTL,0.37,0.52,GRA,Cold,WET,Cold
US-xDC,US-xTR,0.76,0.76,GRA,Cold,DBF,Cold
US-xDC,US-xUK,0.72,0.72,GRA,Cold,DBF,Cold
US-xDC,US-xUN,0.66,0.66,GRA,Cold,MF,Cold
US-xDC,US-xWD,0.48,0.71,GRA,Cold,GRA,Cold
US-xDC,US-xWR,0.1,0.31,GRA,Cold,ENF,Cold
US-xDJ,US-xBR,0.56,0.69,ENF,Cold,DBF,Cold
US-xDJ,US-xDC,0.72,0.77,ENF,Cold,GRA,Cold
US-xDJ,US-xDJ,0.95,0.96,ENF,Cold,ENF,Cold
