training_site,US-xBR,US-xDC,US-xDJ,US-xDL,US-xDS,US-xHA,US-xKZ,US-xML,US-xNG,US-xRM,US-xSB,US-xSC,US-xSE,US-xSL,US-xST,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR
US-xBR,0.82,0.8,0.36,0.57,0.16,0.74,0.72,0.63,0.71,0.69,0.31,0.69,0.74,0.64,0.87,0.61,0.76,0.74,0.71,0.68,0.38
US-xDC,0.66,0.89,0.41,0.53,0.05,0.75,0.71,0.67,0.79,0.66,0.13,0.7,0.71,0.68,0.88,0.61,0.77,0.76,0.73,0.73,0.39
US-xDJ,0.7,0.77,0.92,0.56,0.38,0.74,0.65,0.62,0.74,0.81,0.57,0.53,0.59,0.63,0.86,0.62,0.73,0.75,0.86,0.71,0.62
US-xDL,0.65,0.67,0.64,0.88,0.57,0.7,0.82,0.65,0.71,0.57,0.66,0.59,0.77,0.65,0.8,0.5,0.71,0.85,0.78,0.6,0.49
US-xDS,0.66,0.61,0.69,0.74,0.79,0.71,0.74,0.67,0.63,0.61,0.74,0.51,0.67,0.57,0.76,0.49,0.65,0.77,0.76,0.62,0.56
US-xHA,0.66,0.75,0.65,0.7,0.44,0.84,0.75,0.53,0.69,0.68,0.71,0.68,0.7,0.67,0.84,0.61,0.73,0.81,0.79,0.65,0.54
US-xKZ,0.67,0.71,0.35,0.74,0.57,0.7,0.9,0.56,0.73,0.68,0.53,0.65,0.71,0.71,0.83,0.59,0.74,0.82,0.65,0.65,0.29
US-xML,0.54,0.6,0.33,0.12,0,0.63,0.3,0.87,0.63,0.54,0.13,0.51,0.21,0.32,0.66,0.55,0.54,0.48,0.74,0.65,0.54
US-xNG,0.66,0.82,0.47,0.69,0.35,0.71,0.81,0.65,0.89,0.64,0.28,0.65,0.69,0.67,0.87,0.62,0.76,0.77,0.62,0.74,0.26
US-xRM,0.58,0.65,0.65,0.12,0,0.63,0.43,0.57,0.62,0.93,0.08,0.32,0.28,0.44,0.76,0.61,0.65,0.45,0.65,0.62,0.55
US-xSB,0.66,0.7,0.76,0.79,0.63,0.77,0.74,0.65,0.6,0.68,0.89,0.63,0.73,0.6,0.82,0.55,0.72,0.78,0.81,0.63,0.59
US-xSC,0.73,0.79,0.44,0.55,0.13,0.76,0.74,0.54,0.75,0.65,0.43,0.79,0.71,0.68,0.86,0.57,0.74,0.74,0.8,0.65,0.39
US-xSE,0.73,0.74,0.51,0.62,0.38,0.72,0.69,0.62,0.68,0.65,0.68,0.64,0.86,0.61,0.84,0.53,0.71,0.79,0.79,0.63,0.47
US-xSL,0.59,0.78,0.69,0.64,0.34,0.72,0.81,0.53,0.75,0.47,0.43,0.63,0.68,0.84,0.82,0.61,0.71,0.79,0.67,0.64,0.39
US-xST,0.77,0.8,0.48,0.66,0.25,0.78,0.72,0.63,0.77,0.71,0.52,0.67,0.65,0.65,0.94,0.62,0.78,0.78,0.8,0.72,0.51
US-xTL,0.71,0.73,0.72,0.58,0.29,0.73,0.58,0.66,0.69,0.82,0.36,0.59,0.58,0.54,0.82,0.78,0.7,0.71,0.81,0.69,0.62
US-xTR,0.73,0.81,0.38,0.52,0.2,0.74,0.68,0.72,0.76,0.67,0.52,0.61,0.68,0.65,0.9,0.59,0.84,0.77,0.78,0.72,0.49
US-xUK,0.68,0.77,0.49,0.8,0.54,0.74,0.83,0.68,0.74,0.68,0.69,0.66,0.74,0.69,0.87,0.56,0.77,0.93,0.74,0.69,0.43
US-xUN,0.76,0.79,0.74,0.66,0.43,0.78,0.68,0.75,0.75,0.75,0.57,0.65,0.65,0.62,0.91,0.6,0.77,0.75,0.92,0.74,0.63
US-xWD,0.7,0.81,0.48,0.61,0.33,0.68,0.77,0.78,0.81,0.74,0.4,0.61,0.64,0.62,0.81,0.57,0.71,0.79,0.73,0.83,0.42
US-xWR,0.7,0.73,0.74,0.66,0.46,0.77,0.65,0.71,0.7,0.77,0.67,0.63,0.62,0.6,0.87,0.62,0.73,0.74,0.83,0.7,0.76
