training_site,US-xBR,US-xDC,US-xDJ,US-xDL,US-xDS,US-xHA,US-xKZ,US-xML,US-xNG,US-xRM,US-xSB,US-xSC,US-xSE,US-xSL,US-xST,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR
US-xBR,0.82,0.7,-0.11,-0.75,-19.39,0.55,-0.34,0.43,-0.08,0.49,-5.12,-0.47,0.13,-23.17,0.65,-2.91,0.69,0.56,0.32,-0.15,0.3
US-xDC,0.57,0.89,0.38,0.1,-9.76,0.73,0.49,0.64,0.67,0.4,-0.88,0.35,0.52,-6.57,0.85,0.41,0.77,0.75,0.73,0.53,0.15
US-xDJ,0.56,0.7,0.92,0.45,-0.92,0.61,0.6,0.51,0.72,0.68,0.46,0.4,0.51,-2.62,0.81,0.39,0.62,0.56,0.82,0.7,0.14
US-xDL,0.16,0.6,0.45,0.88,-4.51,0.42,0.79,0.12,0.69,0.11,0.18,0.36,0.7,-6.24,0.64,0.47,0.52,0.67,0.5,0.58,-0.3
US-xDS,-0.14,0.17,0.31,0,0.79,-0.12,0.44,-0.44,0.45,-0.01,0.43,-0.62,-0.12,-0.26,0.1,0.3,0.06,-0.03,0.14,0.33,-0.76
US-xHA,0.54,0.75,0.64,0.45,-7.84,0.84,0.48,0.51,0.53,0.65,-1.36,0.55,0.64,-8.56,0.84,0.27,0.72,0.81,0.77,0.52,0.24
US-xKZ,-0.19,0.46,0.13,0.73,-4.09,0.23,0.9,-0.08,0.7,-0.34,0.07,0.33,0.52,-4.7,0.36,0.43,0.32,0.44,0.14,0.54,-0.7
US-xML,0.5,0.59,0.26,0.03,-2.55,0.29,0.28,0.87,0.27,0.5,-1.43,0.22,0.09,-3.21,0.59,0.16,0.49,0.45,0.67,0.47,0.35
US-xNG,0.3,0.74,0.37,0.65,-3.64,0.59,0.79,0.46,0.89,-0.04,-0.06,0.56,0.65,-3.24,0.78,0.44,0.61,0.57,0.48,0.74,-0.23
US-xRM,0.48,0.59,0.51,0.09,-1.03,0.5,0.38,0.51,0.54,0.93,-0.01,0.31,0.25,-3.72,0.67,0.59,0.56,0.3,0.61,0.58,0.27
US-xSB,0.16,0.41,0.53,0.48,-0.05,0.3,0.65,-0.02,0.57,0.35,0.89,0.09,0.37,-1.87,0.46,-0.12,0.35,0.38,0.46,0.54,-0.38
US-xSC,0.39,0.66,0.41,0.53,-3.78,0.67,0.67,0.45,0.71,0.51,0.37,0.79,0.68,-4.86,0.77,0.34,0.6,0.59,0.67,0.64,-0.06
US-xSE,0.47,0.71,0.49,0.6,-5.01,0.67,0.58,0.45,0.61,0.55,-0.77,0.56,0.86,-7.56,0.79,0.07,0.64,0.77,0.7,0.6,0.04
US-xSL,-0.6,0,-0.13,-0.64,-0.24,-0.26,0.18,-0.93,0.14,-0.99,-1.53,-0.93,-0.37,0.84,-0.1,0.22,-0.06,-0.43,-0.36,-0.02,-1.37
US-xST,0.67,0.78,0.46,0.49,-3.77,0.77,0.63,0.63,0.67,0.66,0.09,0.65,0.63,-5.97,0.94,-0.1,0.76,0.7,0.79,0.63,0.27
US-xTL,-0.09,0.21,0.47,-0.61,-0.33,-0.04,0.14,-0.25,0.45,0.12,-0.8,-0.67,-0.28,0.28,0.2,0.78,0.13,-0.22,0.24,0.37,-0.68
US-xTR,0.67,0.8,0.28,0.25,-7.26,0.73,0.46,0.7,0.45,0.56,-1.08,0.48,0.58,-9.75,0.88,0.13,0.84,0.76,0.72,0.44,0.35
US-xUK,0.54,0.76,0.49,0.31,-12.04,0.73,0.39,0.65,0.27,0.48,-2.8,0.44,0.65,-12.94,0.86,0.55,0.76,0.93,0.74,0.35,0.18
US-xUN,0.67,0.78,0.72,0.56,-2.81,0.73,0.61,0.73,0.56,0.67,-0.24,0.62,0.64,-5.97,0.9,0.31,0.73,0.71,0.92,0.6,0.34
US-xWD,0.4,0.71,0.43,0.6,-3.04,0.44,0.74,0.52,0.79,0.24,-0.03,0.34,0.55,-2.78,0.64,0.53,0.53,0.55,0.63,0.83,0
US-xWR,0.62,0.49,0.01,-0.24,-14.37,0.6,-0.41,0.26,-1.02,0.39,-5.76,0.21,0.14,-19.27,0.55,-4.35,0.6,0.47,0.38,-0.73,0.76
