Site_ID,mean_r2_test,mean_r2_train,n_years,start_year,end_year,2019_test_r2,2020_test_r2,2021_test_r2,2022_test_r2,2023_test_r2,2024_test_r2
US-xAB,0.12,0.63,6.0,2019.0,2024.0,-0.3,-1.21,0.58,0.67,0.48,0.51
US-xAE,0.17,0.6,5.0,2019.0,2024.0,-0.14,,0.56,0.52,-0.36,0.25
US-xBL,-1.12,0.77,6.0,2019.0,2024.0,-2.63,-6.55,0.21,0.78,0.68,0.81
US-xBN,-19.4,0.56,4.0,2019.0,2024.0,-0.31,-0.01,-70.86,-6.44,,
US-xBR,0.71,0.77,6.0,2019.0,2024.0,0.77,0.81,0.53,0.77,0.74,0.67
US-xCL,-2.32,0.58,6.0,2019.0,2024.0,0.15,-16.01,0.21,0.48,0.56,0.68
US-xCP,-352.43,0.46,6.0,2019.0,2024.0,-56.93,-2053.28,0.42,-5.33,0.29,0.23
US-xDC,0.56,0.77,6.0,2019.0,2024.0,0.64,0.82,-0.45,0.77,0.76,0.84
US-xDJ,-0.19,0.81,5.0,2019.0,2023.0,-3.12,0.01,0.68,0.76,0.73,
US-xDL,-1.06,0.85,6.0,2019.0,2024.0,-7.93,-0.04,-0.72,0.85,0.74,0.75
US-xDS,0.55,0.72,6.0,2019.0,2024.0,0.86,-0.14,0.48,0.61,0.62,0.88
US-xGR,-0.51,0.7,6.0,2019.0,2024.0,-1.28,-0.25,0.66,0.61,0.6,-3.38
US-xHA,,,,,,,,,,,
US-xHE,-10.95,0.66,5.0,2019.0,2024.0,-49.56,,-3.41,0.25,-2.53,0.53
US-xJE,0.43,0.7,6.0,2019.0,2024.0,-0.89,0.73,0.62,0.74,0.65,0.72
US-xJR,-24.09,0.26,4.0,2021.0,2024.0,,,-0.38,-0.87,-2.98,-92.13
US-xKA,-6.965415460065673e+29,0.67,6.0,2019.0,2024.0,0.62,-4.179249276039404e+30,0.68,0.55,0.66,0.6
US-xKZ,0.75,0.79,6.0,2019.0,2024.0,0.83,0.61,0.78,0.82,0.66,0.8
US-xMB,-1.61,0.34,6.0,2019.0,2024.0,-8.63,-0.25,-1.27,0.03,0.15,0.29
US-xML,-4.23,0.78,6.0,2019.0,2024.0,-0.9,-24.0,-2.87,0.79,0.78,0.78
US-xNG,-0.76,0.75,6.0,2019.0,2024.0,0.75,-6.31,-1.13,0.73,0.8,0.58
US-xNQ,-9.44396758908502e+29,0.39,4.0,2019.0,2024.0,0.18,,,-3.777587035634008e+30,0.14,0.27
US-xNW,-1.8,0.78,3.0,2019.0,2022.0,-1.34,,-3.71,-0.36,,
US-xRM,-1.54,0.73,6.0,2019.0,2024.0,-3.03,-6.13,-2.19,0.74,0.68,0.67
US-xRN,0.43,0.46,5.0,2020.0,2024.0,,0.37,0.33,0.5,0.56,0.37
US-xSB,0.65,0.82,6.0,2019.0,2024.0,0.09,0.78,0.78,0.58,0.79,0.88
US-xSC,0.57,0.71,4.0,2021.0,2024.0,,,0.31,0.56,0.73,0.69
US-xSE,0.39,0.67,5.0,2020.0,2024.0,,-1.07,0.78,0.75,0.57,0.92
US-xSJ,0.21,0.34,5.0,2020.0,2024.0,,0.12,0.25,0.42,-0.12,0.39
US-xSL,-1.39,0.65,6.0,2019.0,2024.0,-1.14,-0.15,-8.78,0.6,0.52,0.59
US-xSR,-0.34,0.46,6.0,2019.0,2024.0,-0.42,-0.99,0.37,0.49,0.17,-1.64
US-xST,0.2,0.91,6.0,2019.0,2024.0,0.9,0.88,0.8,0.66,0.36,-2.4
US-xTA,0.45,0.63,6.0,2019.0,2024.0,0.04,0.65,0.64,0.0,0.65,0.71
US-xTL,,0.78,3.0,2019.0,2024.0,,,,,0.34,0.11
US-xTR,-14.84,0.74,6.0,2019.0,2024.0,-89.73,0.7,0.62,0.86,0.55,-2.03
US-xUK,0.66,0.81,5.0,2020.0,2024.0,,0.09,0.8,0.82,0.79,0.82
US-xUN,0.87,0.91,6.0,2019.0,2024.0,0.91,0.92,0.87,0.86,0.92,0.72
US-xWD,0.41,0.7,6.0,2019.0,2024.0,0.66,0.72,-0.87,0.54,0.74,0.7
US-xWR,-3.43,0.68,6.0,2019.0,2024.0,0.65,0.74,-22.21,-1.15,0.62,0.77
US-xYE,-16.24,0.77,5.0,2019.0,2024.0,0.42,-83.47,0.82,0.42,,0.61
