Site_ID,mean_r2_test,mean_r2_train,n_years,start_year,end_year,2019_test_r2,2020_test_r2,2021_test_r2,2022_test_r2,2023_test_r2,2024_test_r2
US-xAB,-0.11,0.86,6.0,2019.0,2024.0,-2.32,-0.29,0.5,0.44,0.48,0.52
US-xAE,0.26,0.92,5.0,2019.0,2024.0,0.1,,0.78,0.75,-0.42,0.09
US-xBL,-2.48,0.89,6.0,2019.0,2024.0,-4.31,-12.12,-0.38,0.68,0.48,0.75
US-xBN,-19.34,0.93,4.0,2019.0,2024.0,0.12,-0.33,-65.7,-11.45,,
US-xBR,0.67,0.87,6.0,2019.0,2024.0,0.74,0.8,0.49,0.72,0.68,0.62
US-xCL,-0.1,0.89,6.0,2019.0,2024.0,0.34,-2.96,0.09,0.62,0.59,0.73
US-xCP,-342.34,0.82,6.0,2019.0,2024.0,-6.99,-2044.71,0.52,-3.69,0.5,0.32
US-xDC,0.65,0.93,6.0,2019.0,2024.0,0.75,0.85,-0.21,0.81,0.78,0.92
US-xDJ,-0.08,0.95,5.0,2019.0,2023.0,-2.5,-0.02,0.79,0.79,0.52,
US-xDL,0.3,0.97,6.0,2019.0,2024.0,-0.46,-0.04,-0.04,0.74,0.79,0.8
US-xDS,0.42,0.87,6.0,2019.0,2024.0,0.78,-0.84,0.59,0.57,0.65,0.77
US-xGR,-0.44,0.88,6.0,2019.0,2024.0,-3.45,-0.6,0.63,0.55,0.64,-0.41
US-xHA,,,,,,,,,,,
US-xHE,-17.33,0.94,5.0,2019.0,2024.0,-71.16,,-13.61,-0.29,-2.07,0.46
US-xJE,0.3,0.87,6.0,2019.0,2024.0,-1.85,0.57,0.73,0.84,0.71,0.78
US-xJR,-7.74,0.73,4.0,2021.0,2024.0,,,-0.17,-5.83,-1.32,-23.62
US-xKA,-2.5859767770500585e+29,0.88,6.0,2019.0,2024.0,0.55,-1.5515860662300352e+30,0.6,0.42,0.45,0.58
US-xKZ,0.85,0.94,6.0,2019.0,2024.0,0.8,0.78,0.85,0.9,0.86,0.9
US-xMB,-1.02,0.75,6.0,2019.0,2024.0,-4.26,-1.04,-1.12,-0.13,0.02,0.44
US-xML,-2.97,0.95,6.0,2019.0,2024.0,-0.76,-18.92,-0.52,0.83,0.79,0.76
US-xNG,-0.21,0.91,6.0,2019.0,2024.0,0.89,-2.42,-1.67,0.76,0.86,0.32
US-xNQ,-1.2990038224969398e+30,0.87,4.0,2019.0,2024.0,-0.39,,,-5.196015289987759e+30,-1.5,-0.02
US-xNW,-0.59,0.99,3.0,2019.0,2022.0,-0.67,,-0.29,-0.79,,
US-xRM,-1.41,0.96,6.0,2019.0,2024.0,-5.17,-5.54,0.28,0.82,0.54,0.63
US-xRN,0.32,0.71,5.0,2020.0,2024.0,,0.21,0.34,0.32,0.42,0.33
US-xSB,0.68,0.93,6.0,2019.0,2024.0,0.14,0.7,0.84,0.72,0.82,0.87
US-xSC,0.37,0.9,4.0,2021.0,2024.0,,,-0.3,0.41,0.67,0.7
US-xSE,0.53,0.94,5.0,2020.0,2024.0,,-0.5,0.73,0.8,0.76,0.88
US-xSJ,-0.23,0.82,5.0,2020.0,2024.0,,-2.57,0.19,0.25,0.38,0.58
US-xSL,-0.67,0.93,6.0,2019.0,2024.0,-0.9,-0.24,-4.49,0.72,0.31,0.56
US-xSR,-0.98,0.85,6.0,2019.0,2024.0,-0.31,-4.81,0.11,0.09,-1.35,0.37
US-xST,0.04,0.98,6.0,2019.0,2024.0,0.9,0.86,0.91,0.74,0.85,-4.03
US-xTA,0.22,0.87,6.0,2019.0,2024.0,-0.6,0.38,0.67,0.0,0.48,0.4
US-xTL,,0.97,3.0,2019.0,2024.0,,,,,0.43,-0.87
US-xTR,-0.12,0.91,6.0,2019.0,2024.0,-1.91,0.58,0.55,0.76,0.53,-1.22
US-xUK,0.83,0.96,5.0,2020.0,2024.0,,0.61,0.84,0.9,0.88,0.92
US-xUN,0.85,0.97,6.0,2019.0,2024.0,0.92,0.87,0.89,0.8,0.88,0.75
US-xWD,0.28,0.88,6.0,2019.0,2024.0,0.65,0.54,-1.32,0.36,0.75,0.69
US-xWR,0.18,0.86,6.0,2019.0,2024.0,0.6,0.68,-0.64,-0.72,0.61,0.57
US-xYE,0.48,0.95,5.0,2019.0,2024.0,0.38,0.44,0.61,0.62,,0.35
