Site_ID,mean_r2_test,mean_r2_train,n_years,start_year,end_year,2019_test_r2,2020_test_r2,2021_test_r2,2022_test_r2,2023_test_r2,2024_test_r2
US-xAB,0.17,0.79,6.0,2019.0,2024.0,-0.84,-0.26,0.59,0.5,0.51,0.52
US-xAE,0.37,0.85,5.0,2019.0,2024.0,-0.29,,0.79,0.77,0.32,0.27
US-xBL,-1.81,0.83,6.0,2019.0,2024.0,-2.96,-9.91,0.0,0.73,0.52,0.78
US-xBN,-9.36,0.84,4.0,2019.0,2024.0,0.24,-0.62,-30.17,-6.88,,
US-xBR,0.71,0.82,6.0,2019.0,2024.0,0.78,0.83,0.53,0.75,0.71,0.68
US-xCL,-0.63,0.82,6.0,2019.0,2024.0,0.27,-6.22,-0.01,0.66,0.7,0.82
US-xCP,-302.7,0.74,6.0,2019.0,2024.0,-6.36,-1808.47,0.57,-2.94,0.58,0.41
US-xDC,0.68,0.89,6.0,2019.0,2024.0,0.78,0.9,-0.15,0.82,0.82,0.92
US-xDJ,-0.12,0.89,5.0,2019.0,2023.0,-2.64,-0.14,0.85,0.8,0.56,
US-xDL,0.45,0.94,6.0,2019.0,2024.0,0.07,-0.05,0.36,0.7,0.79,0.83
US-xDS,0.46,0.81,6.0,2019.0,2024.0,0.78,-0.7,0.61,0.58,0.67,0.83
US-xGR,-0.3,0.81,6.0,2019.0,2024.0,-2.86,-0.33,0.64,0.6,0.66,-0.48
US-xHA,,,,,,,,,,,
US-xHE,-13.44,0.88,5.0,2019.0,2024.0,-57.95,,-6.82,-0.22,-2.72,0.51
US-xJE,0.3,0.83,6.0,2019.0,2024.0,-1.76,0.45,0.72,0.85,0.72,0.81
US-xJR,-6.16,0.72,4.0,2021.0,2024.0,,,-0.24,0.41,-0.6,-24.19
US-xKA,-5.076045522975677e+29,0.81,6.0,2019.0,2024.0,0.64,-3.045627313785406e+30,0.66,0.59,0.6,0.6
US-xKZ,0.86,0.91,6.0,2019.0,2024.0,0.82,0.81,0.85,0.92,0.87,0.91
US-xMB,-0.59,0.62,6.0,2019.0,2024.0,-2.7,-0.94,-0.79,0.3,0.14,0.46
US-xML,-1.72,0.9,6.0,2019.0,2024.0,-0.54,-12.01,-0.25,0.84,0.82,0.83
US-xNG,-0.67,0.87,6.0,2019.0,2024.0,0.91,-5.66,-1.37,0.79,0.87,0.44
US-xNQ,-9.667092969140723e+29,0.75,4.0,2019.0,2024.0,-0.3,,,-3.8668371876562897e+30,-1.56,0.23
US-xNW,-0.53,0.97,3.0,2019.0,2022.0,-0.64,,-0.26,-0.7,,
US-xRM,-0.18,0.92,6.0,2019.0,2024.0,-2.12,-1.73,0.41,0.87,0.7,0.79
US-xRN,0.41,0.57,5.0,2020.0,2024.0,,0.33,0.35,0.41,0.48,0.49
US-xSB,0.68,0.89,6.0,2019.0,2024.0,0.07,0.73,0.82,0.74,0.83,0.91
US-xSC,0.49,0.81,4.0,2021.0,2024.0,,,-0.01,0.48,0.75,0.74
US-xSE,0.56,0.87,5.0,2020.0,2024.0,,-0.52,0.79,0.87,0.78,0.9
US-xSJ,0.03,0.65,5.0,2020.0,2024.0,,-1.37,0.2,0.43,0.31,0.57
US-xSL,-0.3,0.86,6.0,2019.0,2024.0,0.43,0.06,-3.95,0.61,0.41,0.61
US-xSR,-0.32,0.75,6.0,2019.0,2024.0,0.16,-2.68,0.28,0.51,-0.57,0.35
US-xST,0.72,0.97,6.0,2019.0,2024.0,0.92,0.89,0.92,0.84,0.85,-0.12
US-xTA,0.32,0.77,6.0,2019.0,2024.0,-0.43,0.55,0.7,0.0,0.48,0.62
US-xTL,,0.95,3.0,2019.0,2024.0,,,,,0.47,-0.43
US-xTR,-0.27,0.84,6.0,2019.0,2024.0,-3.02,0.63,0.65,0.8,0.57,-1.24
US-xUK,0.85,0.93,5.0,2020.0,2024.0,,0.61,0.86,0.92,0.92,0.93
US-xUN,0.86,0.95,6.0,2019.0,2024.0,0.92,0.9,0.89,0.8,0.9,0.76
US-xWD,0.33,0.81,6.0,2019.0,2024.0,0.63,0.6,-1.14,0.39,0.8,0.71
US-xWR,0.11,0.77,6.0,2019.0,2024.0,0.64,0.7,-1.19,-0.76,0.62,0.63
US-xYE,0.67,0.9,5.0,2019.0,2024.0,0.52,0.63,0.81,0.71,,0.65
