Site_ID,n_train,n_test,q_low,q_high,r2_train,r2_sklearn,r2_pearson,start_year,end_year
US-xAB,40357,10090,1.62,6.73,0.83,0.55,0.76,2019,2024
US-xAE,25489,6372,0.29,3.11,0.9,0.6,0.92,2019,2024
US-xBL,33699,8426,1.33,7.32,0.87,0.77,0.95,2019,2024
US-xBN,5173,1294,0.77,5.31,0.9,0.66,0.83,2019,2024
US-xBR,61412,15354,0.65,6.74,0.9,0.58,0.9,2019,2024
US-xCL,41631,10408,1.22,5.4,0.84,0.71,0.89,2019,2024
US-xCP,38724,9682,0.16,2.31,0.72,0.4,0.74,2019,2024
US-xDC,53729,13434,0.41,7.31,0.91,0.77,0.95,2019,2024
US-xDJ,17033,4260,0.85,4.47,0.93,0.82,0.95,2019,2023
US-xDL,23895,5974,1.14,7.56,0.96,0.88,0.97,2019,2024
US-xDS,45729,11433,1.69,4.99,0.83,0.68,0.89,2019,2024
US-xGR,34168,8542,1.67,12.73,0.92,0.59,0.89,2019,2024
US-xHA,76,20,6.34,8.86,0.92,0.35,0.51,2024,2024
US-xHE,6772,1694,0.45,2.72,0.91,0.67,0.87,2019,2024
US-xJE,57841,14462,2.05,8.16,0.87,0.74,0.94,2019,2024
US-xJR,2412,604,0.0,0.18,0.85,0.14,0.28,2021,2024
US-xKA,48720,12180,0.37,4.89,0.88,0.6,0.88,2019,2024
US-xKZ,43581,10896,0.39,6.84,0.94,0.83,0.96,2019,2024
US-xMB,41817,10456,0.13,0.84,0.66,0.27,0.55,2019,2024
US-xML,32291,8074,0.94,6.83,0.93,0.83,0.95,2019,2024
US-xNG,35441,8860,0.45,5.35,0.87,0.79,0.95,2019,2024
US-xNQ,22378,5596,0.07,0.84,0.73,0.35,0.66,2019,2024
US-xNW,4406,1102,0.79,2.75,0.98,0.72,0.78,2019,2022
US-xRM,26417,6606,0.85,4.59,0.96,0.86,0.96,2019,2024
US-xRN,53462,13366,1.43,8.28,0.77,0.28,0.76,2020,2024
US-xSB,47695,11924,1.89,5.86,0.88,0.83,0.97,2019,2024
US-xSC,34348,8588,1.52,7.28,0.87,0.64,0.82,2021,2024
US-xSE,17667,4418,1.47,8.51,0.92,0.79,0.92,2020,2024
US-xSJ,45007,11252,0.78,4.71,0.82,0.29,0.51,2020,2024
US-xSL,29193,7300,0.18,2.4,0.9,0.63,0.88,2019,2024
US-xSR,41230,10307,0.15,1.59,0.76,0.3,0.68,2019,2024
US-xST,27911,6978,0.35,6.11,0.98,0.87,0.98,2019,2024
US-xTA,34348,8588,1.75,9.11,0.82,0.61,0.9,2019,2024
US-xTL,1798,450,0.61,1.9,0.94,0.65,0.85,2019,2024
US-xTR,24616,6154,0.41,7.63,0.95,0.58,0.89,2019,2024
US-xUK,46213,11554,0.85,8.26,0.95,0.88,0.97,2020,2024
US-xUN,38934,9733,0.34,5.41,0.97,0.85,0.98,2019,2024
US-xWD,31776,7946,0.57,5.63,0.84,0.66,0.91,2019,2024
US-xWR,35730,8934,1.44,8.4,0.84,0.6,0.81,2019,2024
US-xYE,16761,4190,0.74,5.05,0.94,0.71,0.9,2019,2024
